,1. open,2. high,3. low,4. close,5. volume
2018-08-29 15:55:00,175.7800,175.9900,175.7600,175.9600,497446
2018-08-29 15:50:00,175.7900,175.9800,175.5601,175.7800,370740
2018-08-29 15:45:00,175.7400,175.8050,175.6065,175.7800,193711
2018-08-29 15:40:00,175.9500,175.9900,175.6800,175.7401,186892
2018-08-29 15:35:00,175.8200,176.0300,175.8200,175.9400,221865
2018-08-29 15:30:00,176.0000,176.0000,175.7700,175.8250,155624
2018-08-29 15:25:00,176.0000,176.0200,175.8367,176.0000,315669
2018-08-29 15:20:00,175.9900,176.0600,175.8500,176.0000,303236
2018-08-29 15:15:00,175.6750,176.0400,175.6707,176.0003,416176
2018-08-29 15:10:00,175.4310,175.6894,175.4048,175.6894,229174
2018-08-29 15:05:00,175.4700,175.5000,175.4100,175.4600,99621
2018-08-29 15:00:00,175.2800,175.5000,175.2600,175.4700,221732
2018-08-29 14:55:00,175.2500,175.3000,175.1900,175.2600,170483
2018-08-29 14:50:00,175.0400,175.2550,175.0000,175.2550,262409
2018-08-29 14:45:00,175.0300,175.0800,174.9800,175.0300,168293
2018-08-29 14:40:00,175.0200,175.1000,174.9800,175.0063,180500
2018-08-29 14:35:00,175.0350,175.0600,174.9895,175.0400,133321
2018-08-29 14:30:00,174.9800,175.0400,174.9200,175.0300,105243
2018-08-29 14:25:00,174.9900,175.0200,174.9700,174.9800,129255
2018-08-29 14:20:00,174.9941,175.0400,174.9300,174.9900,112017
2018-08-29 14:15:00,175.0600,175.1000,174.9380,175.0000,156443
2018-08-29 14:10:00,175.0800,175.0800,174.9800,175.0500,138744
2018-08-29 14:05:00,175.0000,175.0800,174.8600,175.0637,224542
2018-08-29 14:00:00,174.9839,175.1050,174.9839,175.0200,115413
2018-08-29 13:55:00,175.0064,175.0900,174.9510,174.9700,122277
2018-08-29 13:50:00,175.0050,175.0900,174.7500,175.0253,209124
2018-08-29 13:45:00,175.0800,175.0810,174.7700,175.0150,259392
2018-08-29 13:40:00,175.0400,175.1600,175.0100,175.0525,176010
2018-08-29 13:35:00,175.1600,175.1900,175.0000,175.0400,376286
2018-08-29 13:30:00,175.3434,175.3500,175.1165,175.1300,206789
2018-08-29 13:25:00,175.2600,175.4000,175.2500,175.3400,126402
2018-08-29 13:20:00,175.4400,175.4400,175.1850,175.2537,200902
2018-08-29 13:15:00,175.5684,175.5800,175.4201,175.4350,78569
2018-08-29 13:10:00,175.5400,175.5500,175.4350,175.5458,97625
2018-08-29 13:05:00,175.6100,175.6400,175.4400,175.5100,92213
2018-08-29 13:00:00,175.6100,175.6498,175.5711,175.6200,67001
2018-08-29 12:55:00,175.5167,175.6900,175.5167,175.6300,146963
2018-08-29 12:50:00,175.6800,175.7500,175.4600,175.5000,141371
2018-08-29 12:45:00,175.4300,175.7599,175.4110,175.7299,153392
2018-08-29 12:40:00,175.3900,175.5150,175.3600,175.4081,144032
2018-08-29 12:35:00,175.4700,175.5100,175.3800,175.4098,165407
2018-08-29 12:30:00,175.5500,175.6157,175.4500,175.4600,114392
2018-08-29 12:25:00,175.6100,175.6100,175.4400,175.5251,135688
2018-08-29 12:20:00,175.7350,175.7350,175.5500,175.6025,124326
2018-08-29 12:15:00,175.8600,175.8600,175.6500,175.7300,149868
2018-08-29 12:10:00,175.7800,175.8650,175.7600,175.8430,78185
2018-08-29 12:05:00,175.7600,175.8300,175.7500,175.7933,95912
2018-08-29 12:00:00,175.8800,175.9200,175.7400,175.7800,125179
