,author,description,publishedAt,source,title,url,urlToImage,text,neg,neu,pos,compound
0,ABC News,"Updates to the app include an ""about this account"" feature for users with large followings, and people can now request to be verified, too.",2018-08-29 10:44:48,abc-news,WATCH: Instagram rolls out new features aimed at improving security,https://abcnews.go.com/Technology/video/instagram-rolls-features-aimed-improving-security-57469412,https://s.abcnews.com/images/Technology/180829_atm_techbytes_hpMain_16x9_992.jpg,"Coming up in the next {{countdown}} {{countdownlbl}} Coming up next: {{nextVideo.title}} {{nextVideo.description}} Skip to this video now  Related Now Playing: {{currentVideo.title}}    Play Video  This transcript has been automatically generated and may not be 100% accurate. How much is Instagram worth? Plus, Samsung could introduce three new phones in January. Instagram reveals new video platform ""GMA"" got a first look at Instagram's IGTV, a major update that allows users to publish longform videos.  Now Playing: How much is Instagram worth? Now Playing: Instagram reveals new video platform Now Playing: Facebook and Instagram crack down on underage users Now Playing: Apple sends out invites for 2018 iPhone event Now Playing: Samsung to unveil 8K TV this fall Now Playing: New technology designed to keep ambulances safer  Now Playing: Trump administration wages battle with Google Now Playing: Instagram rolls out new features aimed at improving security Now Playing: Uber partners with Toyota to build self-driving cars Now Playing: YouTube plans to allow fewer ad skips Now Playing: Facebook increases security after 2016 election controversy Now Playing: Google accused of storing users' location data Now Playing: Netflix responds to criticism for running ads Now Playing: Kroger testing driverless grocery delivery Now Playing: Apple Car rumored to roll out by 2025 Now Playing: Asleep at the wheel: Exposing dangers of drowsy driving Now Playing: Sprint prepares for next generation of smartphones Now Playing: A serious warning about attacks on ATMs Now Playing: What to know about money payment app misfires  Now Playing: Spotify is testing a skip-ad option for nonpaying users Now Playing: {{itm.title}}",0.066,0.735,0.198,0.9746
1,ABC News,"The video site is introducing nonskippable ads to all of its channels, which will be controlled by content creators.",2018-08-27 11:43:25,abc-news,WATCH: YouTube plans to allow fewer ad skips,https://abcnews.go.com/Technology/video/youtube-plans-fewer-ad-skips-57422058,https://s.abcnews.com/images/Technology/180827_atm_techbytes_hpMain_16x9_992.jpg,Coming up in the next {{countdown}} {{countdownlbl}} Coming up next: {{nextVideo.title}} {{nextVideo.description}} Skip to this video now  Related Now Playing: {{currentVideo.title}}    Play Video  This transcript has been automatically generated and may not be 100% accurate. Facebook admits to providing data to dozens of tech companies The admission from the tech giant was made in new company documents given to Congress. Now Playing: Facebook admits to providing data to dozens of tech companies Now Playing: Say goodbye to overripe avocados thanks to new natural tech from food startup Now Playing: Apple sends out invites for 2018 iPhone event Now Playing: Samsung to unveil 8K TV this fall Now Playing: New technology designed to keep ambulances safer  Now Playing: Trump administration wages battle with Google Now Playing: Instagram rolls out new features aimed at improving security Now Playing: Uber partners with Toyota to build self-driving cars Now Playing: YouTube plans to allow fewer ad skips Now Playing: Facebook increases security after 2016 election controversy Now Playing: Google accused of storing users' location data Now Playing: Netflix responds to criticism for running ads Now Playing: Kroger testing driverless grocery delivery Now Playing: Apple Car rumored to roll out by 2025 Now Playing: Asleep at the wheel: Exposing dangers of drowsy driving Now Playing: Sprint prepares for next generation of smartphones Now Playing: A serious warning about attacks on ATMs Now Playing: What to know about money payment app misfires  Now Playing: Spotify is testing a skip-ad option for nonpaying users Now Playing: Samsung unveils the Galaxy Note9  Now Playing: {{itm.title}},0.066,0.72,0.215,0.9826
2,Will Carr,The most influential companies are preparing for misinformation campaigns.,2018-08-24 22:18:05,abc-news,Tech companies to meet to protect their platforms against foreign meddling,https://abcnews.go.com/Business/ahead-midterm-elections-tech-companies-meet-protect-platforms/story?id=57388549,https://s.abcnews.com/images/US/facebook-users-rtr-jc-180329_hpMain_4_16x9_992.jpg,"
Members of the country's most influential tech companies met Friday to prepare for misinformation campaigns by foreign countries, including Russia, ahead of the midterm elections in November.
 
At least one company confirmed Friday's meeting, held in San Francisco, to ABC News.
 
The companies plan to discuss efforts to defend their platforms from the type of meddling that occurred during the 2016 presidential election.
 
The meeting was first reported in BuzzFeed.
 
It comes after a tumultuous week in the cyber landscape. Microsoft announced Tuesday it took control of half a dozen websites that had been operated by the Russian military intelligence agency that hacked the Democratic National Committee in 2016.
 
On Wednesday, Facebook and Twitter suspended or removed hundreds of accounts linked to Russia and Iran that displayed âinauthentic behavior.â
 
 
 
Fridayâs meeting comes on the heels of a meeting that took place in May between the top tech companies and United States intelligence officials. That meeting occurred at Facebookâs headquarters and included Twitter, Snap, Amazon, Apple, Google, Microsoft and Oath, according to the New York Times.
 
 
 
According to reports, the tech companies walked away disappointed because intelligence officials refused to share information.
 
Tech companies, including Facebook and Twitter, have come under heavy fire after federal authorities announced that Russian agents launched a misinformation campaign on social media in the United States during the 2016 election.
 
 
 
Earlier this month, a number of top U.S. national security leaders gathered in the White House Press Briefing Room and shared the same message: Russia is continuing to interfere in the U.S. political system.
 
 
 
At the time, Homeland Security Secretary Kristjen Nielsen said: âFree and fair elections are the cornerstone of our democracy, and it has become clear that they are the target of our adversaries who seek to sow discord and undermine our way of life.â
 
 
 
In February, Special Counsel Robert Mueller indicted 12 Russians, all members of a Russian intelligence agency, for trying to hack Democratsâ emails and computer networks.
 
ABC News' Lauren Botchan contributed to this report.
",0.068,0.807,0.125,0.9538
3,ABC News,Facebook shut down Iranian and Russian websites that were spreading political disinformation.,2018-08-22 10:34:33,abc-news,WATCH: Facebook increases security after 2016 election controversy,https://abcnews.go.com/Technology/video/facebook-increases-security-2016-election-controversy-57328288,https://s.abcnews.com/images/Technology/180822_atm_techbytes_hpMain_16x9_992.jpg,"Coming up in the next {{countdown}} {{countdownlbl}} Coming up next: {{nextVideo.title}} {{nextVideo.description}} Skip to this video now  Related Now Playing: {{currentVideo.title}}    Play Video  This transcript has been automatically generated and may not be 100% accurate. Facebook identifies ongoing political influence campaign Facebook announced today that it has banned 32 pages and accounts because they were involved in ""coordinated inauthentic behavior,"" on the platform. Now Playing: Facebook identifies ongoing political influence campaign Now Playing: New accusations against Facebook Now Playing: Apple sends out invites for 2018 iPhone event Now Playing: Samsung to unveil 8K TV this fall Now Playing: New technology designed to keep ambulances safer  Now Playing: Trump administration wages battle with Google Now Playing: Instagram rolls out new features aimed at improving security Now Playing: Uber partners with Toyota to build self-driving cars Now Playing: YouTube plans to allow fewer ad skips Now Playing: Facebook increases security after 2016 election controversy Now Playing: Google accused of storing users' location data Now Playing: Netflix responds to criticism for running ads Now Playing: Kroger testing driverless grocery delivery Now Playing: Apple Car rumored to roll out by 2025 Now Playing: Asleep at the wheel: Exposing dangers of drowsy driving Now Playing: Sprint prepares for next generation of smartphones Now Playing: A serious warning about attacks on ATMs Now Playing: What to know about money payment app misfires  Now Playing: Spotify is testing a skip-ad option for nonpaying users Now Playing: Samsung unveils the Galaxy Note9  Now Playing: {{itm.title}}",0.087,0.723,0.19,0.9468
4,Rob Price,"Facebook will be powered by 100% renewable energy by 2020, the company has promised. In new goals published on Tuesday, Facebook also said it would cut its greenhouse gas emissions 75% over the same timeframe. Tech giants like Facebook, Google, Amazon, and Ap…",2018-08-28 12:00:00,business-insider,Facebook says it will be powered by 100% renewable energy by 2020,https://www.businessinsider.com/facebook-sets-2020-renewable-energy-and-greenhouse-gas-targets-2018-8,https://amp.businessinsider.com/images/5b851e29e199f318008b5704-1136-568.jpg,"createPerformanceMark('first image displayed');Facebook CEO Mark Zuckerberg.                                            Chip Somodevilla/Getty                                       On Tuesday, the Silicon Valley tech giant announced that it has set itself a target of powering its operations with 100% renewable energy ""by the end of 2020."" It's also publicly promising to cut its greenhouse gas emissions 75% over the same timeframe, using 2017 as a base year.   The two goals are a significant new commitment towards green energy for Facebook, building on previous targets and giving it new concrete, measurable goals to work towards.   Tech giants like Facebook, Google, Amazon, and Apple, consume extraordinary quantities of electricity to power their global networks of data centres and infrastructure.   These have the capacity to significantly contribute to global greenhouse emissions — though most of the major tech firms have made pledges towards renewable energy with varying levels of specificity.   In a 2017 report assessing the environmental credentials of tech firms, Greenpeace scored Apple most highly — hailing it as ""among the most aggressive in the sector in its efforts to power its online platform with renewable energy.""   Facebook also got an A-grade, with Greenpeace commending it: ""Facebook was the first major internet company to commit to be 100% renewably powered and continues to play a leadership role within the sector. Showing strong transparency and a track record of its five latest data centers sighted in locations that allowed them to be renewably powered.""   Google is ""improving its renewable energy deployment in new markets to keep pace with its rapid growth,"" Greenpeace said, but it ""still has significant room to improve in regards to transparency.""   Facebook previously set itself a goal of 25% renewables by 2015, and 50% by 2018 after that.                                                                       ""We work with utilities, renewable energy developers and industry groups to share our learnings and approaches with other companies. When doing so, we bring an open and innovative approach to finding renewable energy solutions that fit our needs and can move energy markets forward,"" Facebook said in a press release.   ""We work to enable access to renewable energy resources for other companies and organizations through green tariffs, building infrastructure or opening projects to other buyers.""  Got a tip? Contact this reporter via Signal or WhatsApp at +1 (650) 636-6268 using a non-work phone, email at rprice@businessinsider.com, WeChat at robaeprice, or Twitter DM at @robaeprice. (PR pitches by email only, please.) You can also contact Business Insider securely via SecureDrop.  ",0.007,0.864,0.129,0.9903
5,Shona Ghosh,Good morning! This is the tech news you need to know this Tuesday. 1. Toyota is investing $500 million in Uber at a $72 billion valuation as part of a self-driving-car partnership. Uber's tech will be integrated into custom-built Toyota vehicles that will be …,2018-08-28 07:00:57,business-insider,10 things in tech you need to know today,https://www.businessinsider.com/10-things-in-tech-you-need-to-know-today-august-28-2018-8,https://static.businessinsider.com/image/5b84f39a2154a333008b5605-750.jpg,"createPerformanceMark('first image displayed');Palmer Luckey is not a fan of Magic Leap.                                            Niall Carson/PA                                      Good morning! This is the tech news you need to know this Tuesday.  1.  Toyota is investing $500 million in Uber at a $72 billion valuation as part of a self-driving-car partnership. Uber's tech will be integrated into custom-built Toyota vehicles set to be used for a network of self-driving cars, with the first pilots scheduled for 2021.  2.  Some Apple insiders are referring to 2018 as an iPhone ""S"" year, referring to Apple's old system of introducing a new phone design one year and then speed upgrades — the S year — the next. According to Bloomberg, Apple could launch three new iPhones this year, all sporting a screen that covers the entire front of the device.  3.  Marketers are poring over legal documents to make sure they don't screw up using data on Facebook. Facebook is shutting down its Partner Categories ad program and replacing it with Custom Audiences, which will still allow third parties to work with brands in building audiences — but puts the data-protection onus on marketers.  4.  Tesla CEO Elon Musk started having second thoughts about taking his company private when advisers began lining up big-name investors, like rival car firms. According to The Wall Street Journal, Musk also regretted losing the small-fry shareholders who had been his biggest champions.  5.  Facebook barred Myanmar's top army official for ""serious human rights abuses"" as it tries to atone for its role in spreading misinformation in the country. Senior Gen. Min Aung Hlaing is among the 20 Myanmarese and organizations now barred from Facebook.  6.  Officials identified the gamers Elijah Clayton and Taylor Robertson as the two people who died in the shooting at a ""Madden"" tournament in Jacksonville, Florida. The gaming community rallied on social media to pay tribute to the victims.  7.  Tinder's cofounder Sean Rad said he had ""no choice"" but to sell his stock in the dating-app maker a month before he left the company. According to The Verge, Rad was fired from Tinder's parent firm and would have lost the chance to exercise his options within 30 days.  8.  Microsoft introduced an ambitious subscription plan that makes the Xbox the best deal in gaming. The Xbox All Access plan starts at $22 a month for US players, giving subscribers an Xbox One console, two years of Xbox Live Gold service, and two years of Xbox Game Pass.  9.  Y Combinator's ambitious basic-income experiment has been delayed. In 2016, Y Combinator, the largest startup accelerator in Silicon Valley, said it would provide participants with money for five years after an initial pilot, but the pilot is taking a lot longer than anticipated.  10.  Oculus founder Palmer Luckey reviewed the Magic Leap One, a buzzy new mixed-reality device, and was absolutely brutal. Luckey described the device as ""a tragedy in the classical sense ... less of a functional developer kit and more of a flashy hype vehicle that almost nobody can actually use in a meaningful way.""                                                                       Have an Amazon Alexa device? Now you can hear ""10 Things in Tech"" each morning — just search for Business Insider in your device's flash-briefing settings.   ",0.091,0.833,0.076,-0.9255
6,Rob Price,"Facebook's family of apps takes up almost a third of all time spent in apps worldwide, according to new data. The stat illustrates just how deeply entrenched in our digital lives the Silicon Valley company has become in recent years. CEO Mark Zuckerberg insis…",2018-08-27 14:35:00,business-insider,"Of every 100 minutes spent using the world's most popular apps, 32 of those are gobbled up by Facebook (FB, GOOG)",https://www.businessinsider.com/facebook-apps-make-up-third-of-time-spent-in-apps-worldwide-2018-8,https://amp.businessinsider.com/images/5b7da1c7e199f336008b54f3-2732-1366.jpg,"createPerformanceMark('first image displayed');Facebook CEO Mark Zuckerberg.                                            Chip Somodevilla/Getty Images                                       Even so, Facebook and its family of apps take up an astonishing amount of the time people spend on their smartphones.   According to new data from app-analysis firm Apptopia seen by Business Insider, time spent in Facebook's apps make up almost a third of the all the time people spend on the 100 most popular apps across Apple's iOS and Google's Android mobile operating systems.   In other words, of every 100 minutes spent in the world's most popular apps, 32 of those are gobbled up by Facebook — whether that's in Facebook itself, Instagram, WhatsApp, Messenger, or its other apps.   The data highlights how deeply Facebook has entrenched itself into people's digital lives, and the extent to which it has managed to dominate the mobile landscape, despite not building core platforms like Apple and Google.                                              Samantha Lee/Business Insider                                      Facebook even outstrips Google, according to Apptopia's data. Time spent in Google's apps — including YouTube, Gmail, and Google Maps — takes up 22% of the time spent in the top 100 apps across iOS and Android.   When the scope is widened to encompass the top 500 most popular apps, Facebook's and Google's share drops slightly, though they still take up an extraordinarily large amount of time, 20% and 14%, respectively.   Overall, between the start of May and the end of July, users spent a cumulative 300 billion hours on Facebook's apps, and 118 billion in Google's.                                                                                                           The top 10 apps, in terms of time spent, are, in order:   The data is worldwide, though it excludes third-party app stores, including in China (where Google's first-party app store, Google Play, is not available). ""We combine session data from both the app side and consumer side for our learning set, which our data science team then creates estimation models with,"" AppTopia communications lead Adam Blacker said in an email.   ""From the app side, more than 250,000 mobile app developer accounts are connected to Apptopia. From the consumer side, our SDK partner provides us with panel data from hundreds of millions of devices.""   The findings also highlight the success of Facebook's aggressive acquisition and spin-out strategy. Over the past few years, it has snapped up potential competitors and up-and-coming startups left, right, and center, while also spinning out core Facebook functions (Messenger, Local) into standalone apps.   Instagram, which it bought for a relatively paltry $1 billion in 2012,  is now worth an estimated $100 billion and has a whopping 1 billion monthly active users. WhatsApp, which it picked up for a more substantial $19 billion, in 2014, took up 85 billion hours of users' time alone in the three-month period measured by Apptopia.                                                                                                           Asked outright if he thought he had a monopoly at the Senate hearing, Zuckerberg responded to laughter that ""it certainly doesn't feel like that to me."" But regardless of whether Facebook's dominance technically qualifies as one, it clearly now owns an unprecedented mindshare of the worldwide app market.  Work at Facebook? Got a tip? Contact this reporter via Signal or WhatsApp at +1-650-636-6268 using a nonwork phone, email at rprice@businessinsider.com, WeChat at robaeprice, or Twitter DM at @robaeprice. (PR pitches by email only please.) You can also  contact Business Insider securely via SecureDrop.  Get the latest Google stock price here.  ",0.009,0.895,0.096,0.9919
7,Peter Newman,"This story was delivered to Business Insider Intelligence IoT Briefing subscribers hours before it appeared on Business Insider. To be the first to know, please click here. Facebook is testing speech recognition technology — which would be a necessary part of…",2018-08-23 14:16:08,business-insider,Facebook's is testing speech recognition — a project that points to smart speaker development (FB),https://www.businessinsider.com/facebooks-testing-speech-recognition-aloha-smart-speaker-2018-8,https://amp.businessinsider.com/images/5b7ec12104f16232008b5479-1920-960.jpg,"This story was delivered to Business Insider Intelligence  IoT Briefing subscribers hours before it appeared on Business Insider. To be the first to know, please  click here.  Facebook is testing speech recognition technology — which would be a necessary part of any move into the smart speaker market — reports  TechCrunch.  createPerformanceMark('first image displayed');                                            Business Insider Intelligence                                      A video was discovered that showed that the company is testing a program called ""Aloha,"" which can recognize and transcribe speech. That same video includes references to ""Portal,"" the purported name of at least one of the rumored smart speakers that Facebook is reportedly developing.   This news would see to indicate that Facebook is putting together all of the ingredients necessary for a voice-activated smart speaker.   Facebook has been inching toward releasing a smart speaker for a number of months.Rumors initially  emerged last year that the social media giant was potentially looking to wade into the hardware market, but certain team heads within the company appeared  reticent to embrace the voice interface too fully and argued that it was immature and not ready for the role being proposed for it.   But the company has reportedly moved ahead with its efforts and developed two voice-powered smart speakers that it was planning to show off in May at its developer conference. These plans, though, were  scuttled by the fallout from the Cambridge Analytica scandal.   Since then, the company has made  hardware hires and considered how best to proceed with the launch of its smart speakers, potentially looking to  international markets first. And now, the revelation of the Aloha voice interface is another key indicator that Facebook is preparing to move ahead with its smart speaker plans.   Facebook may be the dominant entity in social media, but it's never been a significant hardware player and could face a challenging path wading into this market. Its screen-equipped Portal smart speaker will  reportedly cost $499, higher than any competing devices from Apple, Google, or Amazon. And it won't have any track record to build upon, since Facebook hasn't offered any hardware or voice-based AI in the past.   It's also unclear who the target market for this smart speaker would be. Most of all, though, to convince those consumers who don't yet own a smart speaker to buy its Portal device, Facebook would need to overcome trust issues, which 41% of respondents to an  exclusive Business Insider Intelligence survey cited as the main reason they haven't bought a smart speaker yet.   Given the company's  trust issues, this will be another major hurdle to overcome if it looks to move into the consumer hardware market.  ",0.03,0.82,0.15,0.9946
8,Avery Hartmans,"The world was a very different place 10 years ago. A decade ago, you couldn't order an Uber on your phone. You couldn't surf the web on Google Chrome. You couldn't rent a place to stay on demand with Airbnb. Several incredible products and services have been …",2018-08-23 13:20:00,business-insider,These 18 incredible products didn't exist 10 years ago,https://www.businessinsider.com/18-tech-products-that-didnt-exist-10-years-ago-2017-7,https://amp.businessinsider.com/images/5b733cad89c8a158528b4f32-1920-960.jpg,"createPerformanceMark('first image displayed');Steve Jobs introduces the first iPad on stage in 2010.                                            AP                                      The world was a very different place 10 years ago.   A decade ago, you couldn't order an Uber on your phone. You couldn't surf the web on Google Chrome. You couldn't rent a place to stay on demand with Airbnb.   Several incredible products and services have been invented in the last 10 years — some, in the last five or eight. Thanks to a tweet from Button cofounder Chris Maddern, we were inspired to look into some of the cool, convenient things the tech world has invented since 2008.  Take a look.  When Steve Jobs introduced the iPad eight years ago, he described it was ""the best browsing experience you'll ever have.""   ""It's unbelievably great. Way better than a laptop, way better than a smartphone,"" Jobs said on stage in January 2010.   The original iPad cost between $499 and $829. Since then, the device has gone through several iterations and several price points — most recently, Apple unveiled a new $329, 9.7-inch iPad.   Google unveiled its Chrome browser on September 1, 2008.   ""On the surface, we designed a browser window that is streamlined and simple,"" Google CEO Sundar Pichai (who was vice president of product management at the time) wrote on the official Google blog.   ""Like the classic Google homepage, Google Chrome is clean and fast,"" Pichai wrote. ""It gets out of your way and gets you where you want to go.""   Snapchat first launched on the App Store in the summer 2011 as a messaging app for sending disappearing photos. At the time, it was called Pictaboo, but it had the same now-famous ghost icon, Ghostface Chillah.   By September 2011, the name had changed to Snapchat and began to catch on with Los Angeles teens.   Six years later, Snapchat is owned by a $15.8 billion public company, Snap Inc., and has expanded into partnerships with publishers, TV-like shows, hardware products, and augmented reality.   The idea for Airbnb formed in 2007 when cofounder Joe Gebbia sent an email to his roommate, Brian Chesky, suggesting they rent out their apartment to make some extra money. After a few attempts, Air Bed & Breakfast finally launched in 2008 as an online platform for renting out spare room at your place, or for people to easily find and book inexpensive places to stay.   Airbnb is now working toward becoming a more full-service travel brand by offering curated experiences called Trips as well as high-end accommodations.   Nine years after launching, Airbnb is profitable and valued at about $38 billion, making it one of the highest-valued startups in the US.   Spotify launched in October 2008 in Stockholm, Sweden. The pair behind the company, Daniel Ek and Martin Lorentzon, came up with the name ""Spotify"" in 2005 when Lorentzon was sleeping on a bare mattress at Ek's apartment.   Spotify launched a public beta in the spring of 2007, but it wasn't until the company signed licensing deals with Sony, Universal, BMG, and more that Spotify officially launched. At first, anyone could buy a premium subscription, but the free version of Spotify was available by invite only.   Nearly a decade later, Spotify has 170 million active users worldwide.   Oculus VR began in a garage in Irvine, California in June 2012. Then-19-year-old Palmer Luckey launched the company on Kickstarter, raising nearly $2.5 million for his virtual reality headset. After raising an additional $16 million in funding, Luckey sold Oculus to Facebook in 2014 for $2 billion.   Now, Luckey has left Oculus, but the VR company lives on at Facebook. You can buy an Oculus Rift and Touch for $499, and Facebook announced the $200 Oculus Go headset in 2017.   Stripe, a startup aimed at ""disrupting"" online payments, officially launched in September 2011. Now, companies from Target to the NFL use Stripe's technology to power payments in their websites and apps.    Seven years after launch, Stripe is worth about $9 billion.   Instagram first launched in October 2010 with 25,000 people signing up on the first day. By 2011, Instagram was Apple's iPhone app of the year, and by April 2012, Facebook CEO Mark Zuckerberg shelled out $1 billion to buy the company.   Instagram now has 1 billion active users and has branched into direct messaging, has launched a clone of Snapchat Stories that now has more monthly users, and has added live video, face filters, stickers, and more. In June, Instagram launched a long-form video service called IGTV.   Kickstarter, the platform for launching and backing independent companies and products, got its start in April 2009 after cofounder Perry Chen wanted a way to crowdsource the cost of inviting musicians to a jazz fest in New Orleans.   The first-ever product was a Grace Jones t-shirt created by Chen that didn't meet its fundraising goal.   Since then, over 15 million people have backed projects and $3.8 billion has been raised on the site.   GPS certainly wasn't invented in the aughts — it's actually been around since 1978, and available for commercial use since 1993. But it wasn't until 2008 and 2009 that GPS became widely available on phones.   Early Apple fans could use it on the iPhone 3G, and by 2009, the iPhone could handle turn-by-turn navigation (TomTom even offered a $100 app for it).   The same year, Android adopters could get GPS for free: Google created free turn-by-turn navigation software to Android smartphones.    Lyft launched in 2012 as a ride-sharing app. The idea morphed out of Zimride, a company founded by John Zimmer and Logan Greene that offered carpooling for long-distance rides and campus car-sharing programs.   Fast-forward to 2018 and Lyft now says it has 1.4 million drivers in the US and Toronto and is valued at $15.1 billion.   Pinterest, a search and discovery app and virtual ""pinboard,"" was founded in March 2010.   Today, the app has 200 million monthly active users and the company is valued betweb $13 billion and $15 billion. The company plans to go public by mid-2019.   Pinterest is also moving on from basic searching and pinning: The company is experimenting with shopping, machine learning and vision, and camera search both in the app and around the web.    Twitter cofounder Jack Dorsey launched Square in October 2010 after a friend of his couldn't make a sale because he couldn't process American Express cards.    Square was conceived as a mobile payments service that could process credit cards with an app and a reader that plugged into smartphones.    These days, Square is a $29 billion public company.   4G networks may seem like a given these days, but they've only been around for about seven years. The networks promised to make the mobile internet much faster and much better and were an upgrade the 3G wireless network.    Sprint's HTC Evo was the first 4G phone by several months — it came out in March 2010, followed by a Samsung model in June of that year. Verizon didn't launch 4G until December 2010, and 4G didn't come to the iPhone until the iPhone 5 in 2012.    Uber was founded in March 2009 as a black-car service called UberCab. Garrett Camp, Oscar Salazar, and Conrad Whelan build the first version, with Travis Kalanick serving as a ""mega adviser"" and later, CEO. Over the years, Uber has expanded to offer peer-to-peer ride-sharing, car-pooling, luxury rides, and more.   While the company has been mired in scandal after scandal in the last several months, Uber remains the world's most valuable startup at about $62 billion and its business is still growing.   Venmo first went online in 2009. The startup originally began as a music startup, but the founders decided to switch to payments after founder Iqram Magdon-Ismail came to visit cofounder Andrew Kortina in New York City for the weekend and forgot his wallet.    Venmo was acquired by Braintree in 2012 for $26.2 million, which in turn sold to PayPal in 2013.    Jan Koum incorporated WhatsApp in 2009 before the app had even been written. He and cofounder Brian Acton decided to make it a messaging app, building the company in a converted warehouse they shared with Evernote.   The app grew organically, particularly in developing countries that relied on SMS texting. WhatsApp caught the attention of Facebook CEO Mark Zuckerberg in 2012 and by 2014, Zuckerberg bought the app for $19 billion.   Founder Stewart Butterfield started working on work chat app Slack in 2012. The first iteration of the app was a web-based massively multiplayer game, but it didn't quite work out. Fast-forward to 2013 and the Slack team knew they had a product on their hands that other companies would actually use.    ""We begged and cajoled our friends at other companies to try it out and give us feedback,"" Butterfield said in an interview with venture capital firm First Round Capital.    Most recently, Slack raised $250 million at a $5.1 billion valuation from SoftBank's Vision Fund, Accel, and other investors.    Get the latest Snap stock price here.  ",0.008,0.899,0.093,0.9988
9,Rob Price,"Apple has banned a security app made by Facebook that monitored what apps users were using then sent the data to the social network. Apple determined at Onavo Protect violated its new rules on data collection, and it has now been removed from the App Store. I…",2018-08-23 00:29:23,business-insider,Apple banned Facebook's security app that also reports back on which apps people are using (FB),https://www.businessinsider.com/apple-facebook-onavo-protect-security-removed-app-store-2018-8,https://amp.businessinsider.com/images/5b7df7a3959f34ed318b4817-1920-960.jpg,"createPerformanceMark('first image displayed');Tim Cook, chief executive officer of Apple, attends the annual Allen & Company Sun Valley Conference, July 12, 2018 in Sun Valley, Idaho.                                            Drew Angerer/Getty Images                                       The news was first reported on Wednesday by The Wall Street Journal, and a Facebook spokesperson confirmed its removal to Business Insider. It's still available from the Google Play store on Android.   Onavo, an Israeli security firm acquired by Facebook in 2013, has long been the source of controversy.   Its flagship app, Onavo Protect, offers users a number of security features, including security alerts and access to a virtual private network (VPN). But it also monitors the apps that users use, reporting the data back to Facebook HQ — something the social network has used to identify competitors early and even prompt acquisitions.   According to the WSJ's report, Apple came to the conclusion that the app broke its new rules on data collection, and told Facebook as much earlier in August.   Apple did not immediately respond to Business Insider's request for comment,  but a company spokesperson told CNBC:   ""We work hard to protect user privacy and data security throughout the Apple ecosystem. With the latest update to our guidelines, we made it explicitly clear that apps should not collect information about which other apps are installed on a user's device for the purposes of analytics or advertising/marketing and must make it clear what user data will be collected and how it will be used.""   In a statement, a Facebook spokesperson said: ""We've always been clear when people download Onavo about the information that is collected and how it is used. As a developer on Apple's platform we follow the rules they've put in place.""   According to previous reports from the Wall Street Journal, Facebook has used Onavo to do everything from  monitoring usage of competing apps like Snapchat to  surfacing up-and-coming apps like videochat app Houseparty, and then cloning its core features.                                                                                               Critics have long held that Facebook doesn't do enough to advertise its ownership of Onavo — you have to scroll all the way to the bottom of its description in smartphone app stores to see that disclosure; something not every would-be user may do. Earlier this year, privacy advocates were upset when the  core Facebook app suggested users download Onavo Protect, without disclosing that relationship. It's been called ""vampiric"" and ""spyware"" by pundits.   A Google spokesperson did not immediately respond to a request for comment as to whether the company will take action on Onavo of its own.  Got a tip? Contact this reporter via Signal or WhatsApp at +1 (650) 636-6268 using a non-work phone, email at rprice@businessinsider.com, WeChat at robaeprice, or Twitter DM at @robaeprice.You can also  contact Business Insider securely via SecureDrop.  Get the latest Google stock price here.  ",0.02,0.895,0.085,0.9797
