,1. open,2. high,3. low,4. close,5. volume
2018-08-29 15:45:00,175.7400,175.9900,175.5601,175.9600,1061897
2018-08-29 15:30:00,176.0000,176.0300,175.6800,175.7401,564381
2018-08-29 15:15:00,175.6750,176.0600,175.6707,176.0000,1035081
2018-08-29 15:00:00,175.2800,175.6894,175.2600,175.6894,550527
2018-08-29 14:45:00,175.0300,175.3000,174.9800,175.2600,601185
2018-08-29 14:30:00,174.9800,175.1000,174.9200,175.0063,419064
2018-08-29 14:15:00,175.0600,175.1000,174.9300,174.9800,397715
2018-08-29 14:00:00,174.9839,175.1050,174.8600,175.0500,478699
2018-08-29 13:45:00,175.0800,175.0900,174.7500,174.9700,590793
2018-08-29 13:30:00,175.3434,175.3500,175.0000,175.0525,759085
2018-08-29 13:15:00,175.5684,175.5800,175.1850,175.3400,405873
2018-08-29 13:00:00,175.6100,175.6498,175.4350,175.5458,256839
2018-08-29 12:45:00,175.4300,175.7599,175.4110,175.6300,441726
2018-08-29 12:30:00,175.5500,175.6157,175.3600,175.4081,423831
2018-08-29 12:15:00,175.8600,175.8600,175.4400,175.5251,409882
2018-08-29 12:00:00,175.8800,175.9200,175.7400,175.8430,299276
2018-08-29 11:45:00,175.8300,175.9845,175.7600,175.8700,335815
2018-08-29 11:30:00,176.0000,176.1800,175.8000,175.8200,431502
2018-08-29 11:15:00,176.0200,176.1107,175.9853,176.0315,434563
2018-08-29 11:00:00,175.5400,176.1000,175.5400,176.0700,638478
2018-08-29 10:45:00,176.0000,176.0305,175.2900,175.5520,985534
2018-08-29 10:30:00,175.8400,176.2800,175.7600,176.0100,727220
2018-08-29 10:15:00,175.6900,175.8500,175.4500,175.8300,677463
2018-08-29 10:00:00,175.8000,175.9100,175.5100,175.7298,607274
2018-08-29 09:45:00,175.7000,175.8800,175.2900,175.8400,1202732
2018-08-29 09:30:00,176.1350,176.7500,175.5000,175.7200,1696836
2018-08-28 15:45:00,176.2855,176.3200,175.8700,176.2700,1321619
2018-08-28 15:30:00,176.5300,176.5400,176.1500,176.3100,706157
2018-08-28 15:15:00,176.7400,176.8050,176.4271,176.5195,552051
2018-08-28 15:00:00,177.0700,177.0700,176.6600,176.7463,595223
2018-08-28 14:45:00,177.1400,177.1400,176.9500,177.0700,478413
2018-08-28 14:30:00,177.2250,177.3200,177.0300,177.1700,381180
2018-08-28 14:15:00,177.1300,177.2600,177.0800,177.2300,328484
2018-08-28 14:00:00,177.0400,177.1880,176.9600,177.1300,242592
2018-08-28 13:45:00,176.9700,177.1000,176.9300,177.0300,192731
2018-08-28 13:30:00,176.8200,177.1134,176.7700,177.0000,209462
2018-08-28 13:15:00,176.9200,177.0098,176.7800,176.8307,347678
2018-08-28 13:00:00,176.8800,176.9750,176.8400,176.9050,304476
2018-08-28 12:45:00,177.1300,177.1800,176.8500,176.8978,341100
2018-08-28 12:30:00,176.9900,177.1900,176.9600,177.1100,328167
2018-08-28 12:15:00,177.1200,177.1568,176.9200,176.9600,339766
2018-08-28 12:00:00,176.9750,177.2300,176.8800,177.1509,419946
2018-08-28 11:45:00,176.9900,177.1700,176.9084,176.9600,407224
2018-08-28 11:30:00,177.1400,177.1400,176.6500,176.9900,436131
2018-08-28 11:15:00,177.0600,177.2900,176.9900,177.1900,332970
2018-08-28 11:00:00,176.9400,177.1800,176.8100,177.0600,379685
2018-08-28 10:45:00,177.4300,177.4800,176.9200,176.9200,580784
2018-08-28 10:30:00,177.5600,177.7000,177.2300,177.4000,585431
2018-08-28 10:15:00,177.3798,177.6899,177.1400,177.6100,664745
2018-08-28 10:00:00,176.9400,177.5000,176.8900,177.3900,666664
2018-08-28 09:45:00,177.0100,177.1900,176.4800,176.9400,1281294
2018-08-28 09:30:00,178.2362,178.2362,176.9500,177.0500,2001014
2018-08-27 15:45:00,177.2400,177.5200,177.0000,177.4600,1216699
2018-08-27 15:30:00,177.4700,177.5300,177.1300,177.2425,740049
2018-08-27 15:15:00,177.3800,177.5000,177.2700,177.4800,471551
2018-08-27 15:00:00,177.6100,177.6800,177.3500,177.3800,391958
2018-08-27 14:45:00,177.2400,177.7133,177.1900,177.6100,387160
2018-08-27 14:30:00,177.2700,177.3600,177.1200,177.2530,300467
2018-08-27 14:15:00,177.3700,177.4000,177.0600,177.2300,489450
2018-08-27 14:00:00,177.0200,177.3850,177.0200,177.3610,396489
2018-08-27 13:45:00,177.1400,177.3098,176.9900,176.9900,335924
2018-08-27 13:30:00,177.0300,177.2300,176.8400,177.1852,330407
2018-08-27 13:15:00,177.3701,177.4350,176.9100,177.0300,414640
2018-08-27 13:00:00,177.5250,177.5250,177.1800,177.3900,370857
2018-08-27 12:45:00,177.6100,177.7297,177.4300,177.5500,243443
2018-08-27 12:30:00,177.5200,177.6908,177.3500,177.5800,327580
2018-08-27 12:15:00,177.8900,178.0000,177.5200,177.5200,413824
2018-08-27 12:00:00,177.8800,178.0700,177.7520,177.8800,477504
2018-08-27 11:45:00,177.6200,178.0800,177.5500,177.9300,524886
2018-08-27 11:30:00,177.2500,177.7200,177.2300,177.5900,488163
2018-08-27 11:15:00,177.7250,177.7400,177.0300,177.2200,641891
2018-08-27 11:00:00,177.9700,178.1000,177.4600,177.7500,635137
2018-08-27 10:45:00,178.5300,178.6500,177.7600,177.9300,793321
2018-08-27 10:30:00,178.0300,178.5700,178.0000,178.5134,706093
2018-08-27 10:15:00,178.0400,178.4400,177.9750,178.0860,824325
2018-08-27 10:00:00,177.5700,178.2050,177.5700,178.0610,1289922
2018-08-27 09:45:00,176.5500,177.6200,176.5188,177.5285,1407140
2018-08-27 09:30:00,175.8500,176.8500,175.8000,176.5801,1995015
2018-08-24 15:45:00,174.6100,174.8100,174.5500,174.6600,1343227
2018-08-24 15:30:00,174.5475,174.6400,174.3800,174.6010,560778
2018-08-24 15:15:00,174.5500,174.5700,174.3600,174.5300,441503
2018-08-24 15:00:00,174.5200,174.6200,174.3700,174.5400,424163
2018-08-24 14:45:00,174.3996,174.6200,174.3900,174.5100,556362
2018-08-24 14:30:00,174.2400,174.3900,174.1100,174.3899,317295
2018-08-24 14:15:00,173.9200,174.2700,173.8400,174.2537,302587
2018-08-24 14:00:00,173.7300,173.9399,173.6600,173.9388,305574
2018-08-24 13:45:00,173.9099,173.9600,173.6500,173.7550,275291
2018-08-24 13:30:00,173.9900,173.9900,173.6800,173.9605,282775
2018-08-24 13:15:00,173.8206,174.0177,173.7600,173.9841,234785
2018-08-24 13:00:00,173.7600,173.8101,173.5800,173.8000,405723
2018-08-24 12:45:00,173.8100,173.9700,173.6900,173.7500,334850
2018-08-24 12:30:00,173.9900,174.0056,173.7200,173.8400,313722
2018-08-24 12:15:00,174.1300,174.1900,173.9700,174.0000,252047
2018-08-24 12:00:00,174.2600,174.3100,174.1003,174.1100,257081
2018-08-24 11:45:00,174.1500,174.3600,174.0700,174.2700,308521
2018-08-24 11:30:00,174.2715,174.4350,174.0300,174.1172,362679
2018-08-24 11:15:00,174.4500,174.5700,174.0000,174.2600,447491
2018-08-24 11:00:00,174.4600,174.5200,174.0438,174.4400,476223
2018-08-24 10:45:00,174.5100,174.7584,174.4030,174.4500,692789
2018-08-24 10:30:00,174.0990,174.5300,173.9900,174.4700,717052
