,1. open,2. high,3. low,4. close,5. volume
2018-08-31 15:55:00,227.9000,227.9499,227.5200,227.5200,8847054
2018-08-31 15:50:00,227.8300,228.0000,227.4300,227.8940,934829
2018-08-31 15:45:00,227.8800,228.0000,227.7651,227.7900,529792
2018-08-31 15:40:00,227.8000,227.9500,227.7400,227.8899,502013
2018-08-31 15:35:00,227.5200,227.8300,227.5200,227.8300,499239
2018-08-31 15:30:00,227.3000,227.5900,227.3000,227.5199,407677
2018-08-31 15:25:00,227.3000,227.4500,227.1600,227.2990,329567
2018-08-31 15:20:00,227.5379,227.5499,227.2200,227.2800,372315
2018-08-31 15:15:00,227.7700,227.8500,227.5300,227.5400,246303
2018-08-31 15:10:00,227.8300,227.9200,227.7600,227.7600,242852
2018-08-31 15:05:00,227.8500,227.8715,227.7300,227.8200,233417
2018-08-31 15:00:00,227.5121,227.9200,227.4900,227.8400,322938
2018-08-31 14:55:00,227.6299,227.6299,227.4600,227.5002,180914
2018-08-31 14:50:00,227.5300,227.6700,227.4800,227.6100,194581
2018-08-31 14:45:00,227.4800,227.6499,227.4800,227.5200,179235
2018-08-31 14:40:00,227.6100,227.6400,227.4200,227.4600,221112
2018-08-31 14:35:00,227.6000,227.7400,227.5600,227.6004,229730
2018-08-31 14:30:00,227.5300,227.6299,227.3700,227.6000,226139
2018-08-31 14:25:00,227.0600,227.6000,227.0390,227.5311,316269
2018-08-31 14:20:00,227.2700,227.3000,227.0700,227.0700,238129
2018-08-31 14:15:00,227.3600,227.5000,227.2600,227.2600,227575
2018-08-31 14:10:00,227.5200,227.5200,227.3000,227.3700,236662
2018-08-31 14:05:00,227.5700,227.6600,227.5000,227.5100,199782
2018-08-31 14:00:00,227.8798,227.9100,227.5509,227.5999,217977
2018-08-31 13:55:00,227.7700,227.8800,227.7500,227.8644,157269
2018-08-31 13:50:00,227.9000,227.9869,227.7800,227.7800,145136
2018-08-31 13:45:00,227.7000,227.9500,227.7000,227.9400,147802
2018-08-31 13:40:00,227.8800,227.9200,227.6200,227.6514,185617
2018-08-31 13:35:00,227.8900,228.1000,227.7800,227.8800,253791
2018-08-31 13:30:00,227.8000,227.9000,227.5000,227.8900,334501
2018-08-31 13:25:00,228.2300,228.2300,227.7800,227.8100,314272
2018-08-31 13:20:00,228.2000,228.2900,228.1200,228.2350,170011
2018-08-31 13:15:00,228.3501,228.4600,228.1600,228.2102,271825
2018-08-31 13:10:00,228.5600,228.6000,228.3360,228.3500,284586
2018-08-31 13:05:00,228.4400,228.6400,228.3300,228.5200,267100
