date,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2018-08-20 09:30,0.0125,1.51,1.4975,59.2394,71.8105,68.137,79.8891,114.2247,100.0,0.0,217.3847,217.7586,217.0109,43051107.4266,90103854.0
2018-08-20 10:00,-0.0827,1.3941,1.4768,38.2047,58.38,35.0123,69.1527,-82.9053,75.0,100.0,217.1775,218.0129,216.3421,39701821.7148,86388341.0
2018-08-20 10:30,-0.1942,1.2341,1.4283,12.4912,36.6451,23.9481,52.5701,-116.6001,50.0,100.0,216.8675,218.2969,215.4381,37670988.186,83761793.0
2018-08-20 11:00,-0.2905,1.0651,1.3556,5.0526,18.5828,19.4276,46.3861,-90.9078,25.0,100.0,216.3375,217.8428,214.8322,37446514.3541,80835276.0
2018-08-20 11:30,-0.3596,0.9062,1.2657,5.6813,7.7417,17.3083,41.748,-69.4138,0.0,75.0,215.7975,216.7317,214.8633,35855799.173,78906091.0
2018-08-20 12:00,-0.3604,0.8152,1.1756,13.2006,7.9782,42.7509,39.968,-14.7447,0.0,100.0,215.63,216.1073,215.1527,36948205.7381,80190391.0
2018-08-20 12:30,-0.3311,0.7618,1.0929,32.6762,17.186,54.3322,31.9963,133.3333,0.0,75.0,215.715,216.4012,215.0288,37855534.7381,81097720.0
2018-08-20 13:00,-0.3008,0.7169,1.0177,53.9492,33.2753,56.7351,31.7142,105.0489,100.0,50.0,215.91,216.6691,215.1509,37220303.5056,82359254.0
2018-08-20 13:30,-0.2715,0.6782,0.9498,69.3829,52.0028,59.1888,31.5025,67.6416,75.0,25.0,216.165,216.529,215.801,36886728.5438,83159839.0
2018-08-20 14:00,-0.2616,0.6227,0.8844,66.5301,63.2874,46.3396,24.0461,-41.6004,50.0,0.0,216.2275,216.3914,216.0636,36759928.6071,82199885.0
2018-08-20 14:30,-0.2811,0.533,0.8141,51.6483,62.5204,28.1753,28.3486,-130.0712,25.0,100.0,216.0825,216.6402,215.5248,36515862.3199,80568130.0
2018-08-20 15:00,-0.2974,0.4423,0.7397,31.7072,49.9619,23.6373,31.5754,-82.6051,0.0,75.0,215.875,216.5937,215.1563,36014251.2102,79620614.0
2018-08-20 15:30,-0.2969,0.3686,0.6655,17.7863,33.714,26.276,36.0108,-65.6596,0.0,100.0,215.66,216.1972,215.1228,35925910.8395,81916992.0
2018-08-21 09:30,-0.2832,0.3115,0.5947,16.3301,21.9412,32.4962,36.4439,121.7822,100.0,75.0,215.515,215.6525,215.3775,32746136.9752,85877091.0
2018-08-21 10:00,-0.3055,0.2129,0.5183,22.595,18.9038,14.8979,34.9493,-133.3333,75.0,100.0,215.335,215.8415,214.8285,32916824.4044,81853266.0
2018-08-21 10:30,-0.3202,0.118,0.4383,24.9106,21.2786,12.234,33.8283,-66.3908,50.0,75.0,215.1525,215.8616,214.4434,31692948.1475,80005974.0
2018-08-21 11:00,-0.2599,0.1134,0.3733,37.1844,28.23,58.5397,25.5884,13.6922,25.0,50.0,215.185,215.9584,214.4116,32783830.0921,81622573.0
2018-08-21 11:30,-0.1604,0.1728,0.3332,55.3168,39.1373,74.6839,27.5005,131.89,0.0,25.0,215.4042,216.7382,214.0702,33979210.6642,83346008.0
2018-08-21 12:00,-0.0854,0.2265,0.3119,76.8837,56.4616,76.4029,31.2388,83.8494,100.0,0.0,215.8092,217.2633,214.3551,34129680.5907,84662584.0
2018-08-21 12:30,-0.0173,0.2902,0.3075,89.1743,73.7916,81.0325,35.4574,85.3028,100.0,25.0,216.338,217.2435,215.4325,34570269.2235,85640283.0
2018-08-21 13:00,0.0289,0.3437,0.3148,90.4639,85.5073,82.3179,40.4482,93.6485,100.0,0.0,216.6655,217.0819,216.2491,34330027.5907,86982962.0
2018-08-21 13:30,0.0273,0.3489,0.3216,80.0593,86.5658,57.2963,36.4501,-32.8819,75.0,0.0,216.6888,217.0516,216.326,33729574.577,86230615.0
2018-08-21 14:00,0.0149,0.3403,0.3253,57.172,75.8984,51.6709,27.622,-117.1383,50.0,0.0,216.6563,217.0902,216.2225,33787820.2642,85345670.0
2018-08-21 14:30,-0.0489,0.2642,0.3131,32.6094,56.6136,26.164,33.2724,-125.7241,25.0,100.0,216.3425,217.3151,215.37,33128863.6352,83926355.0
2018-08-21 15:00,-0.1167,0.1673,0.2839,14.0222,34.6012,19.4505,38.8551,-95.7634,0.0,100.0,215.9,217.0344,214.7657,31824980.0108,82425697.0
2018-08-21 15:30,-0.1626,0.0807,0.2433,11.3622,19.3313,17.8852,46.1068,-87.7239,0.0,100.0,215.5325,216.6017,214.4633,31761587.9059,79952050.0
2018-08-22 09:30,-0.2343,-0.0495,0.1847,7.6886,11.0243,10.2137,53.8781,-101.3327,0.0,100.0,215.0,215.945,214.055,29311530.6767,77084154.0
