,t_id,text,time_stamp,vader_sentiment,sentiment
0,1034591391010045957,Wish @mophie would make a battery case for the iPhone X. Or I wish @AppleSupport @Apple made a battery case for it… https://t.co/2DKBICOqNE,2018-08-28 23:59:44,0.6597,pos
1,1034591318448775169,@CAoutcast @AGerberBaby @amazon @Apple He won’t get any credit...it really is a shame,2018-08-28 23:59:26,-0.5233,neg
2,1034591032644534272,"@apple come on, you are killing me!",2018-08-28 23:58:18,-0.69,neg
3,1034590809709047808,"@BookerFoxeh @Apple I just wanted to add one more thing:
Happy birthday, have yourself a great day. 😁 https://t.co/9Y8cWjbdBy",2018-08-28 23:57:25,0.9017,pos
4,1034590803371282432,@scott_txt @newscomauHQ RIP @Apple. I had my new AirPods for 3 days and then lost them. Can there be a program to m… https://t.co/BpeIa0ImkM,2018-08-28 23:57:23,-0.3182,neg
5,1034590282883330048,I'm a @SamsungMobile customer  but I must give it to @Apple and its customer service. Purchased two new iPads with… https://t.co/wkTfmzJy87,2018-08-28 23:55:19,0.0,neutral
6,1034590012979916800,@Apple I've been having an issue where my apple pencil disconnects from my iPad out of no where. When I check to se… https://t.co/m5aB7ibXzt,2018-08-28 23:54:15,-0.296,neg
7,1034589722289610752,"You can now sign into a @Microsoft Account with an @Apple Watch, no #password required

https://t.co/iEzsP2pqoy… https://t.co/yCYlkyIkQ2",2018-08-28 23:53:06,-0.296,neg
8,1034588740788731904,Pretty sure that was supposed to be @apple's job https://t.co/AGdb7EZkN5,2018-08-28 23:49:12,0.6705,pos
9,1034588639483711488,Nothing makes you miss your amazing #Braillest then producing  science #tactile worksheets. #piaf #braille #blind a… https://t.co/BXxyt4sXBY,2018-08-28 23:48:48,0.6421,pos
10,1034588304216391680,@educationpalmer @Google @Apple @IBM It’s about time.,2018-08-28 23:47:28,0.0,neutral
11,1034587870114144266,I started accidentally dancing down the sidewalk on my walk home. The song was so good I couldn’t help it. I felt l… https://t.co/72Y7FkF5fM,2018-08-28 23:45:44,0.6491,pos
12,1034587345503301632,I'm at @Apple Cotai Central in Macau https://t.co/mr61szlQv8,2018-08-28 23:43:39,0.0,neutral
13,1034587107585601537,"DoJ and Class actions lawsuits coming your way. #Whistleblower 
@apple @facebook @twitter @LinkedIn @spotify @Google https://t.co/6zeh0xcWNA",2018-08-28 23:42:42,-0.1531,neg
14,1034586439810396160,@Apple a cool feature update for collaboration on IOS the ability to share an entire Notes List vs just individual… https://t.co/10RwsvYivw,2018-08-28 23:40:03,0.7003,pos
15,1034586035546742786,@apple @google @facebook @twitter @spotify @LinkedIn Employees inside your companies are leaking information now ab… https://t.co/8QhibhOzDM,2018-08-28 23:38:27,0.0,neutral
16,1034585914347905024,@jessssee_ @Apple Eww don’t even,2018-08-28 23:37:58,0.0,neutral
17,1034585673150418945,@ZakBedani @WWESuperCard @Android @Apple I could get 10 LGs newest phone for that price. https://t.co/hT484H2Bjp,2018-08-28 23:37:00,0.0,neutral
18,1034585610881785856,@dave_krugman @Apple Are videos of these talks available anywhere?,2018-08-28 23:36:45,0.0,neutral
19,1034585421118930945,@ZakBedani @WWESuperCard @Android @Apple Yes. Yes I do. https://t.co/I2rTG4QP7H,2018-08-28 23:36:00,0.6597,pos
20,1034585183356420096,@google @twitter @facebook @twitter @LinkedIn @spotify @apple Stop your lies! Wait till the classs action lawyers c… https://t.co/8WUJ9IJg7z,2018-08-28 23:35:04,-0.6476,neg
21,1034584857052160000,@Darryl900 @WWESuperCard @Android @Apple @Apple is this guy knows what he talking about lol,2018-08-28 23:33:46,0.4215,pos
22,1034584625341976576,@ZakBedani @WWESuperCard @Android It's better then paying a thousand bucks @Apple for a phone. It's the same thing… https://t.co/Xu4vE3oJCD,2018-08-28 23:32:50,0.4404,pos
23,1034584328326586369,One for all the @Apple fan boys....  Falling behind now in 3rd as more and more people realise they are not value f… https://t.co/GXgaHS1RPr,2018-08-28 23:31:40,-0.0864,neg
24,1034584188375248896,"36-hr trip w/no ID, passport, or 💳💵 — just 📲:

- 🏡 to @BNAAirport w/@Uber
- strict @TSA screen to 🛫
- 🛬… https://t.co/ejGXaiavmk",2018-08-28 23:31:06,0.0,neutral
25,1034583979758780417,"I LOVE ❤️ Apple's W1 chip, it is AWESOME, no more annoying #bluetooth pairing! Good job @alexcschaefer! @Apple… https://t.co/kWx5kG9VbO",2018-08-28 23:30:17,0.8767,pos
26,1034583963493224448,"Siri on Mac can't set a timer?  WTH, @apple?",2018-08-28 23:30:13,0.5688,pos
27,1034583815488983041,".

@Apple $AAPL #macMini redesign wishlist:

🍎32 GB + all Coffey Lakey ports
🍎Low noise/fanless thinestest + wallmo… https://t.co/CNmIRdeo3e",2018-08-28 23:29:37,0.0,neutral
28,1034583620936183816,"Got this notification this morning from #Fantastical2 for #Mac, telling me to get to my class. Luckily for me, I wa… https://t.co/IQHEBMtDJj",2018-08-28 23:28:51,0.5106,pos
29,1034583090620977152,@Apple You suck Apple.,2018-08-28 23:26:45,-0.4404,neg
