,1. open,2. high,3. low,4. close,5. volume,increase_decrease,up_down,movement(%),MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV,sentiment_avg_30,"coun_neg, 30","coun_neu, 30","coun_pos, 30",sentiment_avg_60,"coun_neg, 60","coun_neu, 60","coun_pos, 60",sentiment_avg_120,"coun_neg, 120","coun_neu, 120","coun_pos, 120",sentiment_night_before_avg,"count_neg, night_before","count_neu, night_before","count_pos, night_before",sentiment_morning_avg,"count_neg, morning","count_neu, morning","count_pos, morning",day,day compound avg,day positive avg,day negative avg,day neutral avg,two day neutral avg,two day positive avg,two day negative avg,two day compound avg,two day wired compound avg,two day nbc-news compound avg,two day abc-news compound avg,two day reuters compound avg,two day business-insider compound avg,two day the-new-york-times compound avg,two day techcrunch compound avg,two day wired neg avg,two day nbc-news neg avg,two day abc-news neg avg,two day reuters neg avg,two day business-insider neg avg,two day the-new-york-times neg avg,two day techcrunch neg avg,two day wired pos avg,two day nbc-news pos avg,two day abc-news pos avg,two day reuters pos avg,two day business-insider pos avg,two day the-new-york-times pos avg,two day techcrunch pos avg,two day wired neu avg,two day nbc-news neu avg,two day abc-news neu avg,two day reuters neu avg,two day business-insider neu avg,two day the-new-york-times neu avg,two day techcrunch neu avg,one day wired compound avg,one day nbc-news compound avg,one day abc-news compound avg,one day reuters compound avg,one day business-insider compound avg,one day the-new-york-times compound avg,one day techcrunch compound avg,one day wired neg avg,one day nbc-news neg avg,one day abc-news neg avg,one day reuters neg avg,one day business-insider neg avg,one day the-new-york-times neg avg,one day techcrunch neg avg,one day wired pos avg,one day nbc-news pos avg,one day abc-news pos avg,one day reuters pos avg,one day business-insider pos avg,one day the-new-york-times pos avg,one day techcrunch pos avg,one day wired neu avg,one day nbc-news neu avg,one day abc-news neu avg,one day reuters neu avg,one day business-insider neu avg,one day the-new-york-times neu avg,one day techcrunch neu avg,company
2018-08-24 09:30:00,216.5,216.89,215.81,215.9,2610982,-0.5999999999999943,0,-0.28,-0.0107,0.1242,0.1349,44.7694,59.5849,44.4142,33.8375,0.6085,100.0,75.0,216.085,216.8503,215.3197,29479691.9396,79995420.0,0.08977142891443916,7.416666666666668,12.083333333333336,12.75,0.08214982990809247,6.837121212121213,10.776515151515152,11.034090909090908,0.07429642481986297,6.513020833333334,10.283854166666668,10.2421875,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,0.9819583333333334,0.10383333333333332,0.025666666666666664,0.8705833333333333,0.8713333333333333,0.10933333333333334,0.01933333333333333,0.9910333333333332,,,0.9468,0.9737,0.9910333333333332,,0.99385,,,0.087,0.023,0.01933333333333333,,0.024,,,0.19,0.061,0.10933333333333334,,0.113,,,0.723,0.9159999999999999,0.8713333333333333,,0.8635,,,0.9468,0.9737,0.9732166666666666,,0.99385,,,0.087,0.023,0.015166666666666662,,0.024,,,0.19,0.061,0.08066666666666666,,0.113,,,0.723,0.9159999999999999,0.9041666666666668,,0.8635,Apple
2018-08-24 10:00:00,215.98,216.28,215.11,215.905,2886632,-0.07499999999998863,0,-0.03,-0.0228,0.1064,0.1292,37.9702,46.4153,44.6428,36.8831,-61.2533,75.0,100.0,215.9362,216.5341,215.3384,30515915.9156,82882052.0,0.15936000000000006,5.0,8.0,17.0,0.08214982990809247,6.837121212121213,10.776515151515152,11.034090909090908,0.07429642481986297,6.513020833333334,10.283854166666668,10.2421875,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,0.9819583333333334,0.10383333333333332,0.025666666666666664,0.8705833333333333,0.8713333333333333,0.10933333333333334,0.01933333333333333,0.9910333333333332,,,0.9468,0.9737,0.9910333333333332,,0.99385,,,0.087,0.023,0.01933333333333333,,0.024,,,0.19,0.061,0.10933333333333334,,0.113,,,0.723,0.9159999999999999,0.8713333333333333,,0.8635,,,0.9468,0.9737,0.9732166666666666,,0.99385,,,0.087,0.023,0.015166666666666662,,0.024,,,0.19,0.061,0.08066666666666666,,0.113,,,0.723,0.9159999999999999,0.9041666666666668,,0.8635,Apple
2018-08-24 10:30:00,215.9,216.26,215.725,215.85,1685983,-0.05000000000001137,0,-0.02,-0.0339,0.0869,0.1208,43.1132,41.9509,42.1064,39.1673,15.1525,50.0,75.0,215.8013,216.0945,215.508,29617792.5171,81196069.0,0.13428800000000002,5.0,10.0,10.0,0.1245657144572196,6.208333333333334,10.041666666666668,14.875,0.07429642481986297,6.513020833333334,10.283854166666668,10.2421875,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,0.9819583333333334,0.10383333333333332,0.025666666666666664,0.8705833333333333,0.8713333333333333,0.10933333333333334,0.01933333333333333,0.9910333333333332,,,0.9468,0.9737,0.9910333333333332,,0.99385,,,0.087,0.023,0.01933333333333333,,0.024,,,0.19,0.061,0.10933333333333334,,0.113,,,0.723,0.9159999999999999,0.8713333333333333,,0.8635,,,0.9468,0.9737,0.9732166666666666,,0.99385,,,0.087,0.023,0.015166666666666662,,0.024,,,0.19,0.061,0.08066666666666666,,0.113,,,0.723,0.9159999999999999,0.9041666666666668,,0.8635,Apple
2018-08-24 11:00:00,215.84,216.02,215.43,215.89,1304704,0.04999999999998295,1,0.02,-0.0376,0.0738,0.1114,43.3521,41.4785,45.1293,43.7556,-63.3335,25.0,50.0,215.8862,215.9295,215.843,30347531.9208,82500773.0,0.06975909090909091,4.0,9.0,9.0,0.14682399999999998,5.0,9.0,13.5,0.07429642481986297,6.513020833333334,10.283854166666668,10.2421875,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,0.9819583333333334,0.10383333333333332,0.025666666666666664,0.8705833333333333,0.8713333333333333,0.10933333333333334,0.01933333333333333,0.9910333333333332,,,0.9468,0.9737,0.9910333333333332,,0.99385,,,0.087,0.023,0.01933333333333333,,0.024,,,0.19,0.061,0.10933333333333334,,0.113,,,0.723,0.9159999999999999,0.8713333333333333,,0.8635,,,0.9468,0.9737,0.9732166666666666,,0.99385,,,0.087,0.023,0.015166666666666662,,0.024,,,0.19,0.061,0.08066666666666666,,0.113,,,0.723,0.9159999999999999,0.9041666666666668,,0.8635,Apple
2018-08-24 11:30:00,215.92,216.31900000000002,215.9112,216.09,1008531,0.17000000000001592,1,0.08,-0.0262,0.0787,0.1048,46.8165,44.4273,59.2993,38.3935,109.221,0.0,25.0,215.9338,216.1186,215.7489,30223380.6451,83509304.0,0.1506590909090909,2.0,10.0,10.0,0.1020235454545454,4.5,9.5,9.5,0.11329462995588252,5.354166666666667,9.770833333333334,12.1875,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,0.9819583333333334,0.10383333333333332,0.025666666666666664,0.8705833333333333,0.8713333333333333,0.10933333333333334,0.01933333333333333,0.9910333333333332,,,0.9468,0.9737,0.9910333333333332,,0.99385,,,0.087,0.023,0.01933333333333333,,0.024,,,0.19,0.061,0.10933333333333334,,0.113,,,0.723,0.9159999999999999,0.8713333333333333,,0.8635,,,0.9468,0.9737,0.9732166666666666,,0.99385,,,0.087,0.023,0.015166666666666662,,0.024,,,0.19,0.061,0.08066666666666666,,0.113,,,0.723,0.9159999999999999,0.9041666666666668,,0.8635,Apple
2018-08-24 12:00:00,216.1,216.1701,215.91,216.07,558761,-0.030000000000001137,0,-0.01,-0.0199,0.08,0.0999,59.4271,49.8652,57.3264,34.395,49.1599,75.0,0.0,215.975,216.1874,215.7626,30352073.341,82950543.0,-0.12260689655172413,15.0,8.0,6.0,0.11020909090909084,3.0,9.5,9.5,0.12851654545454547,4.0,9.25,11.5,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,-0.9625,0.037000000000000005,0.094,0.8690000000000001,0.87075,0.09125,0.038,0.50265,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.094,0.01933333333333333,,0.024,,,0.19,0.037000000000000005,0.10933333333333334,,0.113,,,0.723,0.8690000000000001,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.094,0.015166666666666662,,0.024,,,0.19,0.037000000000000005,0.08066666666666666,,0.113,,,0.723,0.8690000000000001,0.9041666666666668,,0.8635,Apple
2018-08-24 12:30:00,216.07,216.15,215.96,216.04,875563,-0.030000000000001137,0,-0.01,-0.0177,0.0777,0.0954,67.6923,57.9786,53.7466,31.396,32.8001,50.0,25.0,216.0225,216.1796,215.8654,30213752.5297,82074980.0,0.06394137931034481,6.0,12.0,11.0,0.014026097178683332,8.5,9.0,8.0,0.058024821316614426,6.5,9.25,8.75,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,-0.9625,0.036500000000000005,0.093,0.8700000000000001,0.8708,0.08020000000000001,0.0488,0.20962,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.093,0.01933333333333333,,0.024,,,0.19,0.036500000000000005,0.10933333333333334,,0.113,,,0.723,0.8700000000000001,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.093,0.015166666666666662,,0.024,,,0.19,0.036500000000000005,0.08066666666666666,,0.113,,,0.723,0.8700000000000001,0.9041666666666668,,0.8635,Apple
2018-08-24 13:00:00,216.04,216.15,215.78,216.08,657247,0.040000000000020464,1,0.02,-0.0138,0.0782,0.092,73.7124,66.9439,58.3673,33.8347,-121.0037,25.0,0.0,216.07,216.1074,216.0326,30622336.3845,82732227.0,0.14261111111111113,6.0,9.0,12.0,-0.02933275862068972,10.5,10.0,8.5,0.04043816614420063,6.75,9.75,9.0,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,-0.9625,0.036500000000000005,0.093,0.8700000000000001,0.8708,0.08020000000000001,0.0488,0.20962,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.093,0.01933333333333333,,0.024,,,0.19,0.036500000000000005,0.10933333333333334,,0.113,,,0.723,0.8700000000000001,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.093,0.015166666666666662,,0.024,,,0.19,0.036500000000000005,0.08066666666666666,,0.113,,,0.723,0.8700000000000001,0.9041666666666668,,0.8635,Apple
2018-08-24 13:30:00,216.08,216.19,215.92,216.14,815776,0.05999999999997385,1,0.03,-0.0076,0.0825,0.0901,69.5075,70.3041,65.2989,33.3057,112.7664,0.0,75.0,216.0825,216.1551,216.0099,31135959.4695,83548003.0,0.057503448275862075,6.0,14.0,9.0,0.10327624521072792,6.0,10.5,11.5,0.05865117119470568,7.25,9.75,9.75,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,-0.9625,0.036500000000000005,0.093,0.8700000000000001,0.8708,0.08020000000000001,0.0488,0.20962,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.093,0.01933333333333333,,0.024,,,0.19,0.036500000000000005,0.10933333333333334,,0.113,,,0.723,0.8700000000000001,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.093,0.015166666666666662,,0.024,,,0.19,0.036500000000000005,0.08066666666666666,,0.113,,,0.723,0.8700000000000001,0.9041666666666668,,0.8635,Apple
2018-08-24 14:00:00,216.1456,216.5,216.07,216.47,841523,0.32439999999999714,1,0.15,0.0169,0.1113,0.0943,78.58,73.9333,84.3759,30.4985,133.3333,100.0,50.0,216.1825,216.522,215.843,31860063.4346,84389526.0,0.01829687500000001,10.0,12.0,10.0,0.10005727969348653,6.0,11.5,10.5,0.03536226053639846,8.25,10.75,9.5,0.08782975663716805,232,295,377,0.0744508620689655,109,179,176,2018-08-24,-0.9625,0.036500000000000005,0.093,0.8700000000000001,0.8708,0.08020000000000001,0.0488,0.20962,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.093,0.01933333333333333,,0.024,,,0.19,0.036500000000000005,0.10933333333333334,,0.113,,,0.723,0.8700000000000001,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.093,0.015166666666666662,,0.024,,,0.19,0.036500000000000005,0.08066666666666666,,0.113,,,0.723,0.8700000000000001,0.9041666666666668,,0.8635,Apple
