,1. open,2. high,3. low,4. close,5. volume
2018-08-31 15:55:00,175.7400,175.7650,175.6200,175.7200,605603
2018-08-31 15:50:00,175.6300,176.0600,175.6300,175.7400,382996
2018-08-31 15:45:00,175.6200,175.7250,175.5400,175.6000,215779
2018-08-31 15:40:00,175.4600,175.6307,175.4300,175.6200,166450
2018-08-31 15:35:00,175.4200,175.5400,175.3898,175.4900,128616
2018-08-31 15:30:00,175.1900,175.4200,175.1700,175.4200,225728
2018-08-31 15:25:00,175.2700,175.3700,175.1500,175.1600,156050
2018-08-31 15:20:00,175.4900,175.5100,175.1951,175.2449,203925
2018-08-31 15:15:00,175.5400,175.6249,175.4550,175.4800,165266
2018-08-31 15:10:00,175.4800,175.5800,175.3700,175.5300,165494
2018-08-31 15:05:00,175.4301,175.5570,175.4150,175.4700,155383
2018-08-31 15:00:00,175.1300,175.4600,175.1000,175.4500,229431
2018-08-31 14:55:00,175.1000,175.1700,175.0600,175.1100,154011
2018-08-31 14:50:00,175.2810,175.4000,175.0600,175.1100,204389
2018-08-31 14:45:00,175.2800,175.3600,175.2700,175.2900,100543
2018-08-31 14:40:00,175.4300,175.5000,175.2300,175.2467,180496
2018-08-31 14:35:00,175.3900,175.4600,175.3700,175.4200,60531
2018-08-31 14:30:00,175.3700,175.4400,175.3400,175.4000,143419
2018-08-31 14:25:00,175.3300,175.4970,175.3300,175.3500,138355
2018-08-31 14:20:00,175.4900,175.5001,175.3400,175.3501,129212
2018-08-31 14:15:00,175.6100,175.6600,175.4700,175.4700,89671
2018-08-31 14:10:00,175.6867,175.6900,175.5000,175.5900,133311
2018-08-31 14:05:00,175.6000,175.7200,175.5897,175.6700,67397
2018-08-31 14:00:00,175.7300,175.7400,175.5700,175.5900,85578
2018-08-31 13:55:00,175.7200,175.7300,175.6400,175.7100,64932
2018-08-31 13:50:00,175.8800,175.9200,175.7200,175.7300,63840
2018-08-31 13:45:00,175.6600,175.9400,175.6600,175.9200,71927
2018-08-31 13:40:00,175.7200,175.7800,175.6400,175.6400,65766
2018-08-31 13:35:00,175.9900,176.0000,175.7000,175.7100,112290
2018-08-31 13:30:00,176.0500,176.0500,175.7900,175.9767,125037
2018-08-31 13:25:00,176.0400,176.1400,176.0100,176.1000,139283
2018-08-31 13:20:00,175.9000,176.0984,175.9000,176.0500,136356
2018-08-31 13:15:00,175.9100,176.0000,175.8000,175.9000,75639
2018-08-31 13:10:00,176.0200,176.0200,175.8500,175.9200,66517
2018-08-31 13:05:00,175.8950,176.0300,175.8200,176.0000,107064
2018-08-31 13:00:00,175.8500,175.9100,175.7600,175.8900,89154
2018-08-31 12:55:00,175.8100,175.8600,175.7000,175.8600,67444
2018-08-31 12:50:00,175.8100,175.9300,175.7900,175.8156,161335
2018-08-31 12:45:00,175.6300,175.8700,175.6300,175.7800,135613
2018-08-31 12:40:00,175.7000,175.7900,175.5450,175.5610,100260
2018-08-31 12:35:00,175.5700,175.7600,175.5700,175.6858,113307
2018-08-31 12:30:00,175.7000,175.7394,175.3800,175.5300,122008
2018-08-31 12:25:00,175.6000,175.7300,175.4300,175.6900,150516
2018-08-31 12:20:00,175.5600,175.6600,175.5050,175.5800,134178
2018-08-31 12:15:00,175.5201,175.6400,175.5100,175.5600,119183
2018-08-31 12:10:00,175.4600,175.5900,175.3800,175.5500,103848
2018-08-31 12:05:00,175.3400,175.5900,175.2400,175.5015,153689
2018-08-31 12:00:00,175.4000,175.4000,175.1300,175.3400,219006
2018-08-31 11:55:00,175.3535,175.4600,175.3200,175.4197,83822
2018-08-31 11:50:00,175.4492,175.6050,175.3423,175.3500,100363
2018-08-31 11:45:00,175.6400,175.6700,175.3200,175.4125,95595
2018-08-31 11:40:00,175.8410,175.8600,175.5200,175.6700,161146
2018-08-31 11:35:00,175.4590,175.9800,175.4590,175.8800,146138
2018-08-31 11:30:00,175.2900,175.5400,175.2500,175.4501,164156
2018-08-31 11:25:00,175.5400,175.5600,175.2600,175.3100,229967
2018-08-31 11:20:00,175.5008,175.6700,175.3400,175.5101,140552
2018-08-31 11:15:00,175.5900,175.6040,175.4500,175.4800,203390
2018-08-31 11:10:00,175.5500,175.7600,175.5200,175.6450,182063
2018-08-31 11:05:00,176.0200,176.0298,175.5750,175.5750,259011
2018-08-31 11:00:00,176.0000,176.2100,175.9800,176.0700,177972
2018-08-31 10:55:00,176.0397,176.0800,175.8500,175.9700,216769
2018-08-31 10:50:00,176.0000,176.0400,175.8550,176.0200,124468
2018-08-31 10:45:00,175.9600,176.1300,175.8200,176.0250,173076
2018-08-31 10:40:00,176.0799,176.2800,175.9400,175.9600,210820
2018-08-31 10:35:00,176.1100,176.1100,175.9300,176.0600,198026
2018-08-31 10:30:00,176.2400,176.5700,176.0000,176.0900,369694
2018-08-31 10:25:00,175.6400,176.3000,175.6200,176.2617,383820
2018-08-31 10:20:00,175.6300,175.7100,175.5150,175.6950,236953
2018-08-31 10:15:00,175.7750,175.8800,175.6000,175.6400,249972
2018-08-31 10:10:00,175.5000,175.9316,175.5000,175.7973,383455
2018-08-31 10:05:00,175.3100,175.5500,175.2200,175.4800,239184
2018-08-31 10:00:00,175.5600,175.6100,175.1600,175.3000,374607
2018-08-31 09:55:00,175.5300,175.5800,175.2100,175.4500,400704
2018-08-31 09:50:00,175.3700,175.6500,175.0600,175.5200,542116
2018-08-31 09:45:00,175.4457,175.8400,175.0000,175.3900,866100
2018-08-31 09:40:00,176.5400,176.6100,175.2856,175.4300,760714
2018-08-31 09:35:00,176.5000,177.0400,176.2299,176.5600,579937
2018-08-31 09:30:00,177.2900,177.5000,176.4650,176.4900,904911
