,author,description,publishedAt,source,title,url,urlToImage,text,neg,neu,pos,compound
0,The Associated Press,"A new Netflix reality series following the lavish lives of wealthy, light-skinned socialites in Mexico City has provoked a backlash",2018-08-29 14:56:22,abc-news,Reality show about the wealthy triggers backlash in Mexico,https://abcnews.go.com/Entertainment/wireStory/reality-show-wealthy-triggers-backlash-mexico-57474427,https://s.abcnews.com/images/Entertainment/WireAP_c59c196ab76f4a7ba633c76ad0123957_16x9_992.jpg,"
 
A new Netflix reality series following the lavish lives of nine wealthy, light-skinned socialites in Mexico City has provoked a backlash from critics who say it's tone-deaf in a country where most have darker skin and about half the population lives in poverty. 
""Trash,"" ''filth,"" ''pathetic,"" ''classist,"" were some of the more polite adjectives Twitter users employed to describe their reaction to the show, ""Made in Mexico."" 
Critics are also questioning the timing of the streaming service's first Mexican reality show, announced a little over a month after the country overwhelmingly elected as president the leftist Andres Manuel Lopez Obrador, who rails against what he calls an entrenched and corrupt elite and promises to make the poor his top priority. 
""In the last elections we showed that we live in a democratic country. Nonetheless, we still suffer terrible atavisms related to classism and, what's worse, racism,"" said Guadalupe Loaeza, who has written several books about the Mexican elite. ""More than money, the color of one's skin is definitive ... for whether one is accepted or not among the 'rich boys and girls.'"" 
""Made in Mexico"" producers did not respond to multiple requests for comment. 
But Hanna Jaff, a 30-year-old, San Diego-born Mexican philanthropist, speaker and human rights activist, told The Associated Press that she and the other cast members are representative of Mexico as family people with different backgrounds and professions and ""our own problems within our circumstances."" 
She said the show will offer a positive, intellectual, entrepreneurial vision of the country, in contrast to what's often seen in media such as Netflix, which hosts a number of violent narco-dramas such as ""El Chapo,"" about notorious Sinaloa cartel kingpin Joaquin Guzman Loera. 
""I wanted the world to see a different Mexico, from a different point of view,"" Jaff said. ""I think there will always be negative and positive people, no? ... And in truth, the program is not a stereotype."" 
At least in early advertising, however, Netflix has been touting it somewhat differently: ""Get to know the opulent lifestyles and infamous dynasties of Mexico City's socialites and the expats vying for a spot in their exclusive social order,"" reads the teaser for the show in the app. 
Some have also objected to its English-language title, an affectation common in magazines and advertising aimed at well-to-do Mexicans. Besides Jaff, at least two other cast members are reportedly American. 
The white and the wealthy have long dominated Mexican media, from telenovelas to newscasts to high-society supplements of national newspapers that chronicle fancy weddings, galas and mansions, with hardly a dark-skinned face to be found. 
Loaeza referenced what are known in the country as ""mirreyes"" â a motherly expression meaning roughly ""my little kings"" â the flashy young scions of wealth and privilege known for sharing photos of luxurious cars, clothes, vacations and bling on platforms such as Facebook, Twitter and Instagram. The phenomenon has taken off in recent years, amplified by the explosion of social media and accompanied by a number of corruption scandals during the administration of President Enrique Pena Nieto. 
""These 'new rich' are totally aspirational, even though they are criticized,"" Loaeza said. ""Many people aspire to dress like them, to spend holidays in Acapulco and drive a BMW."" 
So despite the criticism in a country of stark social and economic contrasts â where telecoms magnate Carlos Slim is one of the richest people in the world, while millions in places like Chiapas and Oaxaca live in ramshackle homes â ""Made in Mexico"" could well become a hit when it is released Sept. 28. 
""I think that precisely because most of the population is so far from that, it makes people really curious about what it feels like to be in that person's place,"" said Jorge Romero, a 25-year-old Netflix user. 
Christopher Alcantara, a 32-year-old business administrator, said he's curious to see ""Made in Mexico"" and added that such shows are entertaining and introduce new slang and fashion trends. 
""Morbidity sells, and without a doubt it would be very interesting to watch a pilot episode,"" Alcantara said.",0.073,0.83,0.096,0.9138
1,The Associated Press,"Between September and Christmas, Netflix will release at least 25 films in what may be the most extensive fall movie slate any studio has ever put together",2018-08-28 17:34:18,abc-news,Fall Film Preview: A prestige movie wave from Netflix,https://abcnews.go.com/Entertainment/wireStory/fall-film-preview-prestige-movie-wave-netflix-57453642,https://s.abcnews.com/images/Entertainment/WireAP_258f2d3160c1433b8dea03caf0128178_16x9_992.jpg,"
 
The frustratingly long wait for Tamara Jenkins' follow-up to her 2007 Oscar-nominated film, ""The Savages,"" seemed to finally be coming to end. She had spent two years on the script to ""Private Life,"" and secured Kathryn Hahn and Paul Giamatti to star as a middle-aged New York couple navigating the medical and emotional gauntlet of assisted reproduction. But just when the production was ready to go, the company that had developed it, Amazon Studios, stepped back, leaving Jenkins in the lurch. 
Enter Netflix. 
""I think 'swooped' would be the perfect word. They saved it,"" says Jenkins, the 56-year-old filmmaker of ""The Slums of Beverly Hills."" ''I was scared. I thought we're going to blow it. We were going to miss the window. And then Netflix said, 'We'll do it' and they said it incredibly fast."" 
Jenkins' ""Private Life"" (Oct. 5) is part of what may be the most extensive fall movie slate any studio has ever put together. Between September and Christmas, Netflix will release at least 25 films. There will be one or two new movies released almost every week, many of them by the most sought-after filmmakers in Hollywood. 
Among them: Nicole Holofcener's midlife crisis drama ""The Land of Steady Habits"" (Sept. 14), Jeremy Saulnier's northern Alaska thriller ""Hold the Dark"" (Sept. 28), Paul Greengrass' docudrama on the 2011 Norway terrorist attack ""22 July"" (Oct. 10), David Mackenzie's Robert the Bruce epic ""Outlaw King"" (Nov. 9), Joel and Ethan Coen's Western anthology film ""The Ballad of Buster Scruggs"" (Nov. 16) and Alfonso Cuaron's ""Gravity"" follow-up ""Roma."" And that's not even mentioning a new work, the posthumously completed ""The Other Side of the Wind,"" from a long-unheard-from filmmaker: Orson Welles. 
A year after ""Mudbound"" became Netflix's biggest Oscar contender yet, the streaming giant's programming push (it's spending some $8 billion in 2018) is heading into this year's awards season with a wave of prestige and genre-movie reinforcements. Whether the Netflix tide will roll all the way into the Academy Awards remains to be seen. (Some, like Steven Spielberg, have suggested Netflix films, with their small, token theatrical releases, are more like TV movies and should qualify for the Emmys, not the Oscars.) 
But regardless, the Netflix powerhouse fall lineup would be the envy of most any studio. It's a significant surge for a company with an up-and-down record in terms of the quality of its original films. (See: ""Bright,"" ''War Machine"" or any of the Adam Sandler movies.) And though critics have claimed Netflix releases can get lost in its sea of programming options, it will be hard to miss the Netflix movies this fall. There will be six Netflix films at the Venice Film Festival and eight at the Toronto International Film Festival. 
""I usually turn it on its head and say: Look, movies are found on Netflix,"" says Ian Bricke, co-head of Netflix's indie film division. ""And it's certainly important for us, too, that these movies are in the culture. 'Private Life' was at Sundance, will be at the New York Film Festival, will be in theaters. It will be written about and experienced and talked about in a way that any other film would be, and can reach potentially, over a very short period of time, a really meaningful audience all over the world. To me, that's the best of both worlds."" 
Cuaron's much anticipated ""Roma"" had been headed for Cannes. But after Netflix pulled its films from the French festival after Cannes ruled them out from the main competition, ""Roma"" will instead hit the Venice, Toronto and the New York festivals before arriving on Netflix in December. For the Mexican filmmaker of ""Gravity"" and ""Children of Men,"" the '70s-set, black-and-white, Spanish-language ""Roma"" is a bold departure that forced Cuaron to remake himself as a filmmaker. 
But like Jenkins' ""Private Life,"" Cuaron's deeply personal film, about the Mexico City neighborhood of his youth, was never going to be an easy sell to distributors. Netflix, where original films are typically watched by millions, meant a global release far beyond the art house. Cuaron calls Neflix's support of ""Roma"" ''unprecedented."" 
""The specialized film, the so-called foreign film market nowadays is very challenging and sometimes their resources are limited,"" says Cuaron ""Netflix fully believe in the film and they understand these kinds of films can have a huge audience. So now they are in a creative and aggressive way supporting the film. What they offered was absolutely compelling. I'm really, really grateful for them."" 
For Cuaron, making ""Roma,"" about a domestic worker for a middle-class family, was part of connecting again with the ""personal journey"" of cinema. He estimates 90 percent of it is based on his memories. He went to great lengths to recreate his childhood home. None of the crew or cast had a script. 
""It's something that's been brewing for a long, long, long time,"" he says of the film. 
Jenkins, too, was pulling from her own experience for ""Private Life."" The film is partly based on the pregnancy trials of her own with her husband, the screenwriter Jim Taylor. Even though it wasn't Jenkins' initial instinct to dramatize that chapter of her life. 
""When I was kind of downloading my woes or whatever, a girlfriend of mine who's a filmmaker said, 'Oh my god, you should really write about that.' And I was like, 'No way! I'll never do that! Gross!'"" says Jenkins. But as she witnessed more friends going through similar fertility challenges, she reconsidered. ""There was something so existential about that problem. It's so primal. I just thought it was a great lens to examine this couple."" 
Both ""Private Life"" and Holofcener's ""The Land of Steady Habits"" were abandoned in development elsewhere when they were picked up by Bricke and his colleague Matt Levin. Without consulting content chief Ted Sarandos, they can greenlight anything with a budget under $10 million. 
""We have a business model and an appetite for creative risk that's not unique but is relatively scarce,"" says Bricke. ""When a Charlie Kauffman or a Tamara Jenkins or a Nicole Holofcener comes around, it's pretty easy for us to jump in with them."" 
Holofcener's film stars Ben Mendelsohn as Anders Hill, a Connecticut man who has left his wife (Edie Falco), quit his job in finance and begun acting recklessly. Based on Ted Thompson's novel, it's the first adaptation for Holofcener, the writer-director of ""Enough Said"" and ""Friends With Money,"" and the first centered on a man. 
""I absolutely identify with him, as a parent, as a divorced parent, who inevitably is going to make mistakes,"" says Holofcener."" I like to think I don't make such serious mistakes or catastrophic mistakes as Anders makes. But we're all so flawed and stumbling along on our own and trying to be role models for our kids. They go whatever way they want and we can't control them. It's scary. I relate to that in him. I'm nicer than he is, I like to think, and not as screwed up. But that's what makes a good movie, right?"" 
——— 
Follow AP Film Writer Jake Coyle on Twitter at: http:/twitter.com/jakecoyleAP",0.039,0.87,0.091,0.9935
2,Travis Clark,"According to The Hollywood Reporter, Netflix is considering giving Alfonso Cuarón's ""Roma"" an expanded, exclusive theatrical run before it streams on Netflix. This would be a sharp pivot from its original plans, which were to release the movie on Netflix as w…",2018-08-29 21:07:00,business-insider,Netflix might relax a policy that has caused its biggest fights with movie theaters,https://www.businessinsider.com/netflix-might-release-alfonso-cuarons-roma-exclusive-to-theaters-not-day-and-date-2018-8,https://static.businessinsider.com/image/5b87096264dce830008b56ca-750.jpg,"createPerformanceMark('first image displayed');                                            Netflix                                      Netflix might be softening its stance in its biggest fight with movie theaters.   According to The Hollywood Reporter, Netflix is considering giving ""Roma,"" the Alfonso CuarÃ³n-directed Oscar contender, an exclusive theatrical run before premiering it on the service for streaming. This would be a sharp pivot from its original plans, which were to make it available to stream the same day it ran in select theaters (called ""day and date"").   In fact, that's been Netflix's usual policy, which has never landed the company in the good graces of theatrical chains. Because of this policy, most major theater chains have refused to play Netflix movies. That stands in contrast to competitor Amazon, which gives its original movies exclusive theatrical runs before streaming (and has reaped the rewards at the Oscars).   Anonymous sources told THR that Netflix film chief Scott Stuber is pushing head of content Ted Sarandos to give the movie, and others from high-profile filmmakers, an extended theatrical run prior to its debut on Netflix in order to improve Netflix's awards-season chances and make those filmmakers happy.   Netflix did not immediately respond to a request for comment from Business Insider and declined to comment to THR.   Netflix once flirted with the idea of buying Landmark Theaters in order to guarantee its movies play in theaters, but ultimately passed on the chance. And Business Insider reported in April that Netflix had rejected offers to play its films at some arthouse theaters, possibly out of fear of underperforming.   Netflix's lack of theatrical distribution has been a headache for the company. Earlier this year, Netflix pulled out of the Cannes Film Festival after a new rule disqualified any film without a theatrical distribution in France.   Netflix has been attracting top talent in the industry to boost its profile. Along with CuarÃ³n and Greengrass, Netflix is premiering movies from the Coen Brothers and more at the Venice Film Festival, which began on Wednesday. But now it needs to keep them happy.   ""Roma"" does not have a release date yet, but was expected to arrive on Netflix and in select theaters later this year. Netflix's official description of the movie is, ""A story that chronicles a tumultuous year in the life of a middle-class family in Mexico City in the early 1970s.""                                                                                   Learn details about Netflix's other movies that are premiering at Venice here.  Watch the ""Roma"" trailer below:   ",0.046,0.818,0.137,0.9831
3,Travis Clark,"Netflix has a contentious history with film festivals, but the streaming service has been welcomed with open arms to this year's Venice Film Festival, which begins on Wednesday. It will premiere six movies at the fest. The movies hail from respected and Oscar…",2018-08-29 13:04:08,business-insider,Netflix wants to kickstart its Oscar chances with these 6 movies premiering at the Venice Film Festival,https://www.businessinsider.com/netflix-has-oscar-hopes-with-6-movies-premiering-at-venice-2018-8,https://amp.businessinsider.com/images/5b859bb31982d8ba138b4e21-960-480.jpg,"createPerformanceMark('first image displayed');""Roma""                                            Netflix                                      Netflix has a contentious history with film festivals, but the streaming service has been welcomed with open arms to this year's Venice Film Festival, which begins on Wednesday. It will premiere six movies at the fest.   The movies hail from respected and Oscar-winning filmmakers like Alfonso CuarÃ³n and the Coen Brothers. In fact, Netflix no doubt has its sights on the Oscars this year: you don't finance films from such directors and premiere them at Venice if you're not thinking about awards season.   While the streamer's ""Icarus"" won best documentary this year (Netflix's only Oscar win so far), Netflix and the Oscars have been a controversial topic in the past. Director Steven Spielberg proclaimed that Netflix films deserve Emmys, not Oscars, because ""once you commit to a television format, you're a TV movie."" Netflix also pulled out of the Cannes Film Festival after it introduced a rule change, in which any film without a theatrical distribution in France would be disqualified from competition.   But Venice has rejuvenated Netflix's Oscar hopes, and the Toronto International Film Festival next month will show seven Netflix movies, according to The Hollywood Reporter.  We've rounded up the six Netflix movies showing at Venice below (Most don't have official release dates yet, but are all expected to arrive on Netflix later this year): Director: Alfonso CuarÃ³n (""Gravity,"" ""Children of Men,"" ""Harry Potter and the Prisoner of Azkaban"")  Netflix description: ""A story that chronicles a tumultuous year in the life of a middle-class family in Mexico City in the early 1970s.""   CuarÃ³n won the Oscar for best director in 2014 for ""Gravity,"" and also shared a best film editing win for the same film. He's been nominated for two screenplay Oscars for ""Children of Men"" and ""Y Tu MamÃ¡ TambiÃ©n."" He was nominated for best film editing for ""Children of Men.""  Watch the trailer here. Director: Joel and Ethan Coen (""Hail, Caesar!,"" ""Inside Llewyn Davis,"" ""True Grit,"" ""No Country for Old Men"")  Netflix description: ""Saddle up for six tales about the American frontier from the unique minds of Joel and Ethan Coen, who wrote and directed this anthology.""   The Coen Brothers have been nominated for screenplay Oscars for a number of films, including ""True Grit"" and ""A Serious Man."" They won for best original screenplay for ""Fargo"" and best adapted screenplay for ""No Country for Old Men,"" in which they also won Oscars for directing and best picture.  Director: Alessio Cremonini (""Border"")  Status: Coming to Netflix September 12  Netflix description: ""Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events.""  Watch the trailer here. Director: Orson Welles (""Citizen Kane"")  Netflix description: ""A completion and restoration of Orson Welles's unfinished film, this satire follows the final days of a legendary director striving for a comeback.""   Welles won the best original screenplay Oscar for ""Citizen Kane,"" which is widely regarded as one of the best films of all time. He also won an honorary Oscar in 1971.  Watch the trailer here. Director: Morgan Neville (""Won't You Be My Neighbor?,"" ""20 Feet From Stardom"")  Netflix description: ""In the final fifteen years of the life of legendary director Orson Welles he pins his Hollywood comeback hopes on a film, The Other Side of the Wind, in itself a film about an aging film director trying to finish his last great movie.""   Neville won the Oscar for best documentary for ""20 Feet From Stardom"" in 2014.   Director: Paul Greengrass (""Jason Bourne,"" ""Captain Phillips,"" ""The Bourne Ultimatum,"" ""United 93,"" ""The Bourne Supremacy"")  Netflix description: ""After a far-right zealot launches a shocking attack in Norway, survivors — and the country — rally for healing and justice. Based on true events.""   Greengrass was nominated for best director in 2007 for ""United 93.""   ",0.059,0.699,0.242,0.9995
4,John Lynch,"Guy Pearce, who stars in the new Netflix original series ""The Innocents,"" said in a recent interview that the company told him not to talk about ""binge-watching"" in interviews promoting the Netflix series. Though it's unclear exactly where the phrase ""binge-w…",2018-08-28 15:36:20,business-insider,"Guy Pearce says Netflix hates the term 'binge-watching' now, and told him not to use it in interviews",https://www.businessinsider.com/netflix-bans-actors-from-saying-binge-watching-in-interviews-guy-pearce-2018-8,https://amp.businessinsider.com/images/5b8567a2e199f31b008b567f-1536-768.jpg,"createPerformanceMark('first image displayed');Guy Pearce in Netflix's ""The Innocents.""                                            Netflix                                      Though the rise of Netflix popularized the term ""binge-watching"" to describe how the company's subscribers tended to consume multiple episodes of a series in one sitting, Netflix now appears to have soured on the phrase.   Guy Pearce, who stars in the new Netflix original ""The Innocents,"" said in  an interview with Empire Magazine's film podcast (via  IndieWire) that the company told him not to use the phrase ""binge-watching"" while promoting the series.   ""I don't think Netflix likes the term 'binge,'"" Pearce said when Empire asked him if viewers would binge-watch ""The Innocents."" ""When we did the promotion for ['The Innocents'] in the [United States], we were strictly sort of instructed beforehand not to talk about 'binge-watching.'""   Pearce didn't elaborate on Netflix's reasoning for the policy, but one assumes that the company has taken issue with the term ""binge"" for its connection to disorders like binge-eating and binge-drinking. (Netflix did not immediately respond to a request for comment on the matter from Business Insider.)   It's unclear exactly where the phrase ""binge-watching"" originated. But Netflix did use the phrase in a  press release as early as December 2013, the year it released its first big original series, ""House of Cards,"" in promoting survey results that found binge-watching was a ""widespread behavior"" among TV audiences.   Pearce stars in the supernatural Netflix series ""The Innocents"" as a doctor who treats shapeshifting beings. The series debuted on August 24.   ",0.017,0.909,0.074,0.9088
5,Travis Clark,"Netflix released the first photo of Tobias Menzies as Prince Philip in ""The Crown"" season three. Menzies is taking over the role from Matt Smith. The third season also stars Olivia Colman as Queen Elizabeth II and Helena Bonham Carter as Princess Margaret. Th…",2018-08-28 13:27:37,business-insider,"Netflix shared the first photo of the new Prince Philip in 'The Crown' season 3, and you might recognize him from 'Game of Thrones'",https://www.businessinsider.com/netflix-shares-first-photo-of-tobias-menzies-as-prince-philip-in-the-crown-2018-8,https://amp.businessinsider.com/images/5b854b83e199f307428b503b-640-320.jpg,"createPerformanceMark('first image displayed');                                            Netflix                                      ""The Crown"" has a new Prince Philip for its upcoming third season, and we now have our first glimpse of him in costume.   On Tuesday, Netflix shared the first photo of Tobias Menzies in the role that was played in the first two seasons by Matt Smith. Smith's two seasons of the period drama covered the late 1940s to early 60s. The third season will take place in the 60s and 70s.   Menzies starred in the first season of AMC's critically acclaimed horror anthology series ""The Terror"" this year, and you probably also know him from his role on HBO's ""Game of Thrones"" (he plays Edmure Tully).   ""The Crown"" season three is now in production, and is expected to arrive on Netflix in 2019.   The third season also stars Olivia Colman as Queen Elizabeth II and Helena Bonham Carter as Princess Margaret, who are replacing Claire Foy and Vanessa Kirby, respectively.   ""The Crown"" season two, which dropped on Netflix in December, is nominated for 13 Emmys at this year's awards, which air September 17 on NBC. The nominations include drama series, Foy for lead actress in a drama, Smith for supporting actor, and Kirby for supporting actress.   ",0.033,0.883,0.084,0.836
6,Ben Gilbert,"Microsoft is now offering a far less expensive way to buy the Xbox One: A subscription program called ""Xbox All Access."" Starting at $22/month, subscribers will get an Xbox One console, two years of Xbox Live Gold service, and two years of Xbox Game Pass. The…",2018-08-27 18:54:53,business-insider,Microsoft just introduced an ambitious subscription plan that makes the Xbox the best deal in gaming (MSFT),https://www.businessinsider.com/microsoft-xbox-one-all-access-2018-8,https://amp.businessinsider.com/images/5b8446e280eb35532d8b49b5-1536-768.jpg,"createPerformanceMark('first image displayed');                                            Microsoft                                            BI.requireQueue.push({                                    requireFunc: function () {                require( ""src\/scripts\/utils\/contentProvider"" )( {""providerName"":""mi"",""providerUrl"":""www.businessinsider.com\/ajax\/finanzenpost?isPost=true&symbols=MSFT&author[]=Ben Gilbert&vertical=sai&categories[]=video-games&categories[]=gaming&categories[]=microsoft&categories[]=xbox&categories[]=xbox-one-s&categories[]=xbox-one&categories[]=xbox-one-x&categories[]=xbox-all-access&categories[]=xbox-game-pass&categories[]=xbox-live&categories[]=xbox-live-gold&categories[]=subscription&views=12568"",""adEnabled"":true,""wrapperClass"":""markets-insider-post""}, window);            },            priority : undefined        });       The new Xbox One All Access subscription program aims to fix this problem.   Starting at $22/month for 24 months, the subscription program comes with an Xbox One S console, two years of Xbox Live Gold service, and two years of Xbox Game Pass access. There's a second, more expensive tier as well, which comes with the aforementioned $500 Xbox One X console, two years of Xbox Live Gold service, and two years of Xbox Game Pass Access — priced at $35/month for 24 months. You own the console outright at the end of the 24-month term.   Both plans offer savings over buying the console and services piecemeal: The Xbox One S plan costs approximately $530 across 24 months, while buying each piece individually would cost nearly $650; the Xbox One X plan costs approximately $840 across 24 months, while buying each piece individually would cost approximately $860.   It's a bold move from Microsoft: The Xbox One is now the most affordable option for a gaming console by far. Even used PlayStation 4 consoles cost over $200 a pop, and Nintendo's Switch starts at $300.   More importantly, All Access comes with both Xbox Live Gold and Xbox Game Pass — Microsoft's flagship subscription services for gaming — for the length of your subscription,.   You need Xbox Live Gold to play online, making it a must for many on that basis alone. But Xbox Live Gold also comes with additional perks like discounts on downloadable games, and a quartet of free games for your console every month.   Meanwhile, Game Pass opens the door to a huge library of downloadable games from a growing list of hundreds of original Xbox, Xbox 360, and Xbox One titles. It's kind of like Netflix for gaming, except games are downloaded instead of streamed. You keep access to every title as long as you're subscribed.   Game Pass is especially important because every major Microsoft-published game arrives on Game Pass the same day as launch, including new entries in the ""Halo,"" ""Gears of War,"" and ""Forza"" series. When ""Forza Horizon 4"" drops later this year, for example, Game Pass subscribers will get it on day one for no additional charge.  In the Netflix comparison, first-party Microsoft games are the equivalent of Netflix producing its own content.                                            Microsoft                                      In so many words, subscribing to Xbox All Access is an all-in-one way to buy a new Xbox console with a ton of games right out of the box.                                                                                                                                                                                               There is, however, one major caveat: The subscription plan is only available through physical Microsoft Store locations, and not online or anywhere outside the United States. Bummer! Microsoft also characterizes the All Access program as a ""limited-time offer""; it sounds like the program is a test run for something bigger down the line.   That makes a lot of sense given Microsoft's ongoing push with Xbox — the company has been moving away from the traditional game console model, and it looks like the future of Xbox may be in software over consoles.   While the company is currently working on  at least one, if not several, new model of Xbox hardware, the overall philosophical approach of Microsoft's Xbox group has shifted toward enabling players to play games anywhere.   ""There are 2 billion people who play video games on the planet today. We're not gonna sell 2 billion consoles,"" Microsoft's Xbox lead, Phil Spencer, told Business Insider  in an interview in June. ""Many of those people don't own a television, many have never owned a PC. For many people on the planet, the phone is their compute device,"" he said. ""It's really about reaching a customer wherever they are, on the devices that they have.""                                              Microsoft                                      In the case of Xbox All Access, Microsoft is providing devices — the Xbox One S and Xbox One X consoles, both with 1TB of storage — at a far lower cost than the competition. More importantly, the pricing model offers consumer flexibility: People can upgrade their consoles easily.                                                                                                                                                                                               For example: Instead of feeling buyer's remorse on that new Xbox One S because you bought it right before the Xbox One X was announced, you could simply go to the more expensive plan and get your new console.   It's a smart move, and it may offer a look at a new way that companies like Microsoft and Sony can continually upgrade their game consoles while keeping them affordable for customers.   Get the latest Microsoft stock price here.  ",0.019,0.907,0.075,0.9879
7,Travis Clark,"Netflix released first photos of new ""House of Cards"" cast members Diane Lane and Greg Kinnear on Monday. Lane and Kinnear play powerful siblings inspired by the Koch Brothers. The final season of ""House of Cards"" premieres November 2. ""House of Cards"" has fi…",2018-08-27 17:21:18,business-insider,New 'House of Cards' cast members Diane Lane and Greg Kinnear take the spotlight in Netflix photos from the final season,https://www.businessinsider.com/netflixs-house-of-cards-shares-photos-of-diane-lane-greg-kinnear-2018-8,https://amp.businessinsider.com/images/5b8430072be4abc20e8b4d26-1136-568.jpg,"createPerformanceMark('first image displayed');                                            Netlix                                      ""House of Cards"" has finally unveiled the first look at new cast members Diane Lane and Greg Kinnear in new photos from the upcoming final season.   Netflix tweeted the photos on Monday, with the caption, ""Diane Lane & Greg Kinnear play Annette & Bill Shepherd, siblings who exert a powerful behind-the-scenes force in politics. Cody Fern plays Duncan, Annette's ambitious and devoted son, who represents the next generation of DC power players.""    The Shepherds run Shepherd Unlimited, a ""leading industrial conglomerate,"" and are inspired by the Koch Brothers, who run Koch Industries and are major influencers in politics.   Robin Wright will take center stage as Claire Underwood in the final season of ""House of Cards"" after her co-star Kevin Spacey was fired due to sexual misconduct allegations last year.   The final episodes of ""House of Cards"" will be available on Netflix on November 2.  Check out the new photos below:  ",0.022,0.878,0.1,0.891
8,Carrie Wittmer,Can't decide what to watch among Netflix's never-ending collection of TV shows? We've been there many times. We're here to make it easier to pick what shows you watch on Netflix this week. We know what it's like to spend way too much time choosing what to wat…,2018-08-27 14:19:18,business-insider,3 TV shows to watch on Netflix this week that are definitely worth your time,https://www.businessinsider.com/3-great-tv-shows-to-watch-on-netflix-the-innocents-great-news-2018-8,https://amp.businessinsider.com/images/5b8407fa04f1622a008b55ff-750-375.jpg,"createPerformanceMark('first image displayed');                                            Netflix                                      Can't decide what to watch among Netflix's never-ending collection of TV shows? We've been there many times. We're here to make it easier to pick what shows you watch on Netflix this week.   We know what it's like to spend way too much time choosing what to watch, so every week we put together a list of three shows you can watch right now. We pick shows you can finish in a day, and some you can just get started on binge-watching. We mix shows that have recently come onto the service with some old favorites you might have missed. But they are all worth your time.   From Netflix's latest supernatural romance, ""The Innocents,"" to NBC's recently canceled (but delightful) newsroom comedy, ""Great News,"" here are three great shows you should watch this week.  Seasons: 1  Episodes: 8   This young adult supernatural thriller and love story is simple, but that's what makes it fun. It's easy to binge-watch, it's only eight episodes, and it won't take that much out of you.  Seasons: 4  Episodes: 40   Since there's a new slew of episodes coming to Netflix Friday, it's either time to revisit ""The Great British Baking Show"" or to catch up on the calming competition series right before everyone is talking about it again. This feel-good reality show will make you realize you don't actually know what baking is, and you'll never feel more emotion than when a contestant throws out his Baked Alaska.  Seasons: 1  Episodes: 10   ""Great News"" is a delightful show that mixes weird, escapist humor with biting commentary on the political climate and modern media. It fires snappy jokes as fast as its sister show, ""30 Rock,"" and for that it is incredibly re-watchable and will likely build up a devoted audience on Netflix.    ",0.011,0.817,0.172,0.9944
9,Kate Taylor,"Netflix's ""To All the Boys I've Loved Before"" features an unexpected star — the sandwich chain Subway. The prominence of the chain in the film raised some eyebrows on social media. Subway confirmed to Business Insider that it partnered with the production com…",2018-08-27 13:07:42,business-insider,Here's the real reason why Subway sandwiches are everywhere in Netflix's latest hit 'To All the Boys I've Loved Before',https://www.businessinsider.com/netflixs-to-all-the-boys-ive-loved-before-features-subway-2018-8,https://amp.businessinsider.com/images/5b8369e9dcee30d30f8b51d4-1136-568.jpg,"createPerformanceMark('first image displayed');                                            Netflix                                      While the blossoming romance between  Lara Jean Covey and Peter Kavinsky left fans of Netflix's ""To All the Boys I've Love Before"" swooning, another love story left some viewers scratching their heads.   The plotline in question: Lara Jean's best friend, Chris, and her undying obsession with Subway sandwiches.   Chris is established as Lara Jean's rebellious (and only) friend on the pair's first day of 11th grade. Once lunchtime rolls around, however, Chris' secondary character trait comes into play: She really loves Subway.  Lara Jean receiving a text from Chris.                                            Netflix                                      In fact, Chris loves Subway so much she ditches Lara Jean to skip school and get sandwiches for lunch. Chris' dedication is so great that she even uses Subway-branded emoji.   When Chris and Lara Jean finally do have lunch together later in the film, it is only because Chris has brought back Subway for the pair to eat under the bleachers.   To feature a character with such an all-consuming love for Subway in ""To All the Boys I've Loved Before"" raised some eyebrows on social media.    To see exactly how Subway sandwiches ended up in the rom-com, Business Insider contacted the sandwich chain.   ""We regularly partner with production companies ... to place Subway in a range of films, especially ones we anticipate being popular,"" a Subway representative told Business Insider via email.                                                                                               Subway's history of inserting itself into TV shows and movies is well-documented. Over the past decade, Subway has made appearances on shows including ""The Biggest Loser,"" ""Nashville,"" and ""Community."" In 2013,  Variety reported that Subway distinguished itself not only by having sandwiches featured but also by pushing for products to be giving the equivalent of a ""speaking role,"" with storylines specifically mentioning the brand.   In the case of ""To All the Boys I've Loved Before,"" Subway gave the film's production companies permission to use the brand, with a local franchisee providing product and packaging. While the representative did not disclose details of the partnership, Subway certainly has the equivalent of a ""speaking role,"" with almost a third of Chris' screen time involving the chain.   The collaboration seems to be working. Numerous people — including  Business Insider's Carrie Wittmer— are reporting on social media that ""To All the Boys I've Loved Before"" left them with a surprising craving for a Subway sandwich.    ",0.008,0.875,0.117,0.9914
