,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-31 15:55:00,367.6700,367.8000,367.4707,367.8000,992649,5
2018-08-31 15:50:00,367.2300,368.6950,367.2300,367.6541,267010,5
2018-08-31 15:45:00,367.9600,368.0500,367.1200,367.2000,144391,5
2018-08-31 15:40:00,367.5400,367.8420,367.2001,367.8000,77278,5
2018-08-31 15:35:00,367.5699,367.7368,367.4626,367.6400,105822,5
2018-08-31 15:30:00,367.2100,367.7500,367.1100,367.4750,142012,5
2018-08-31 15:25:00,368.0200,368.0500,367.1900,367.2600,150380,5
2018-08-31 15:20:00,369.5200,369.5200,368.1332,368.1400,135714,5
2018-08-31 15:15:00,369.0900,369.4700,369.0000,369.4700,44391,5
2018-08-31 15:10:00,369.4800,369.4800,369.1500,369.1500,32156,5
2018-08-31 15:05:00,369.5400,369.6100,369.2500,369.4195,56520,5
2018-08-31 15:00:00,369.0900,369.7500,369.0900,369.5300,89563,5
2018-08-31 14:55:00,369.3100,369.4600,369.0000,369.0542,42127,5
2018-08-31 14:50:00,369.6600,369.9100,369.1800,369.4800,60208,5
2018-08-31 14:45:00,369.4590,370.0900,369.3780,369.6900,78698,5
2018-08-31 14:40:00,369.5500,369.7499,369.0000,369.3285,58468,5
2018-08-31 14:35:00,369.3000,369.6873,369.2000,369.4162,68874,5
2018-08-31 14:30:00,370.1200,370.1500,369.3500,369.4000,90557,5
2018-08-31 14:25:00,370.4900,370.5000,369.9000,370.1359,59825,5
2018-08-31 14:20:00,370.8700,370.9200,369.8900,370.4500,93980,5
2018-08-31 14:15:00,370.8100,370.9800,370.7054,370.8600,39110,5
2018-08-31 14:10:00,370.9300,370.9700,370.5400,370.8600,72795,5
2018-08-31 14:05:00,371.0500,371.4700,370.6700,370.8500,43952,5
2018-08-31 14:00:00,371.3340,371.6100,371.0000,371.0000,69947,5
2018-08-31 13:55:00,370.8000,371.2790,370.6900,371.2003,70448,5
2018-08-31 13:50:00,371.2840,371.5700,370.8400,370.8400,64117,5
2018-08-31 13:45:00,371.4600,371.7950,371.4100,371.4100,27702,5
2018-08-31 13:40:00,371.6200,371.6520,371.3600,371.4190,25063,5
2018-08-31 13:35:00,371.8100,371.9000,371.5000,371.5700,41317,5
2018-08-31 13:30:00,371.8000,371.8500,371.1200,371.7300,96497,5
2018-08-31 13:25:00,372.4500,372.4500,371.8900,371.9400,81848,5
2018-08-31 13:20:00,372.4600,372.6174,372.4200,372.4500,50359,5
2018-08-31 13:15:00,372.7300,372.8000,372.3717,372.4700,47816,5
2018-08-31 13:10:00,372.8839,372.8839,372.4700,372.6000,28257,5
2018-08-31 13:05:00,372.5700,373.0500,372.4300,372.8400,29044,5
2018-08-31 13:00:00,372.7200,372.7200,372.3400,372.6900,30925,5
2018-08-31 12:55:00,372.9000,372.9000,372.4700,372.7500,38175,5
2018-08-31 12:50:00,372.8800,373.1900,372.7700,372.9500,34934,5
2018-08-31 12:45:00,372.4940,373.1550,372.4940,372.9100,43496,5
2018-08-31 12:40:00,372.5400,372.6700,372.2650,372.5700,39332,5
2018-08-31 12:35:00,372.4783,373.0300,372.4783,372.6100,36674,5
2018-08-31 12:30:00,372.3958,372.3958,371.6000,372.2033,73564,5
2018-08-31 12:25:00,372.8700,372.8700,371.9846,372.3200,49708,5
2018-08-31 12:20:00,372.8350,373.0300,372.4000,372.7700,42993,5
2018-08-31 12:15:00,372.6907,373.2300,372.6800,372.8900,54808,5
2018-08-31 12:10:00,372.3900,372.7100,372.1700,372.6393,40976,5
2018-08-31 12:05:00,371.9700,372.5100,371.7230,372.4902,54595,5
2018-08-31 12:00:00,372.1500,372.1500,370.8500,371.9700,107368,5
2018-08-31 11:55:00,372.5013,372.5013,372.0800,372.1300,30844,5
2018-08-31 11:50:00,372.2700,372.6946,372.2700,372.4600,86539,5
2018-08-31 11:45:00,372.3600,372.3600,371.6258,372.0735,98454,5
2018-08-31 11:40:00,374.1700,374.1700,372.4100,372.4100,117679,5
2018-08-31 11:35:00,373.6800,374.2500,373.6400,374.2300,49495,5
2018-08-31 11:30:00,374.0445,374.3500,373.7900,374.0300,41295,5
