date,MACD_Signal,MACD,MACD_Hist,SlowD,SlowK,RSI,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2018-08-20 09:30,-3.3065,-3.0781,0.2284,67.9028,65.9195,21.9785,39.2694,-133.3333,0.0,100.0,314.1313,318.42,316.2756,-6840278.2872,-21302228.0
2018-08-20 10:00,-3.1718,-2.6331,0.5387,70.6854,72.434,70.9728,30.5014,88.0957,100.0,75.0,313.1881,320.7831,316.9856,-5556247.1594,-19822939.0
2018-08-20 10:30,-2.9707,-2.166,0.8047,72.5567,79.3165,75.2588,28.9921,106.2936,100.0,50.0,312.8889,323.0466,317.9677,-5318027.8034,-18722006.0
2018-08-20 11:00,-2.6596,-1.4151,1.2445,82.1837,94.8005,86.2713,34.2848,99.9172,100.0,25.0,312.3074,327.9405,320.124,-4180602.5669,-17506495.0
2018-08-20 11:30,-2.2883,-0.803,1.4852,88.7493,92.1308,86.4407,40.7105,92.7716,100.0,0.0,317.715,328.0717,322.8933,-4748956.3706,-16325382.0
2018-08-20 12:00,-1.8625,-0.1596,1.7029,93.9994,95.067,89.8486,45.7939,79.3445,100.0,0.0,319.9995,329.6172,324.8083,-4143735.8188,-15596613.0
2018-08-20 12:30,-1.4251,0.3248,1.7498,93.1811,92.3454,85.845,50.1575,79.9277,100.0,0.0,324.5152,328.2423,326.3787,-4097862.1506,-16911044.0
2018-08-20 13:00,-0.977,0.8155,1.7924,94.3387,95.6038,89.251,54.8217,108.3441,100.0,0.0,324.9585,329.4015,327.18,-3703150.5089,-16448658.0
2018-08-20 13:30,-0.5196,1.3097,1.8293,94.6535,96.0113,91.9346,60.3098,127.8344,100.0,0.0,326.0155,330.6461,328.3308,-2835092.7375,-15550204.0
2018-08-20 14:00,-0.0678,1.7393,1.8071,96.4176,97.6376,93.047,65.5626,89.0335,100.0,0.0,326.3635,331.9887,329.1761,-2415390.6618,-14950257.0
2018-08-20 14:30,0.3126,1.8345,1.5218,89.9064,76.0703,54.3591,54.963,-15.1758,100.0,0.0,327.1631,331.6257,329.3944,-3027106.6465,-15752062.0
2018-08-20 15:00,0.6211,1.855,1.2339,74.9447,51.1262,50.2076,43.426,-119.9875,75.0,0.0,326.4585,331.8398,329.1492,-3323314.1257,-16605349.0
2018-08-20 15:30,0.8704,1.8677,0.9973,50.8141,25.2457,52.773,34.7732,-66.6549,50.0,75.0,325.9882,331.1835,328.5859,-3305367.8801,-15626447.0
2018-08-21 09:30,1.2213,2.6249,1.4036,39.4683,42.0329,88.1778,46.7544,133.3333,100.0,50.0,321.8945,338.6091,330.2518,-1285228.5605,-12119105.0
2018-08-21 10:00,1.6317,3.2733,1.6416,43.9229,64.4901,89.355,55.7403,85.8873,75.0,25.0,322.5715,343.186,332.8787,-834603.4592,-10770061.0
2018-08-21 10:30,2.088,3.9131,1.8252,65.9787,91.413,91.5795,63.128,78.0727,100.0,0.0,326.2965,345.9825,336.1395,-13251.4649,-9840571.0
2018-08-21 11:00,2.5092,4.1942,1.685,82.0799,90.3365,71.0324,68.8744,55.3123,100.0,0.0,336.4698,341.1192,338.7945,-797536.8948,-10758520.0
2018-08-21 11:30,2.9072,4.4991,1.5919,90.4941,89.7328,76.363,72.4032,46.7836,75.0,0.0,337.5259,341.3856,339.4557,-412343.5547,-10234933.0
2018-08-21 12:00,3.2781,4.7617,1.4836,89.0932,87.2103,79.2478,75.931,133.3333,100.0,0.0,338.1042,342.067,340.0856,-132753.6576,-9568597.0
2018-08-21 12:30,3.5836,4.8054,1.2218,84.9118,77.7924,64.2376,73.9767,19.3248,75.0,0.0,337.9797,341.7156,339.8476,-467942.6062,-9972654.0
2018-08-21 13:00,3.8312,4.8216,0.9905,77.6288,67.8838,67.0714,70.1,-29.5702,50.0,25.0,339.2899,341.2605,340.2752,94131.3814,-9143501.0
2018-08-21 13:30,4.012,4.7355,0.7235,65.9496,52.1726,59.5495,68.0472,-72.8232,25.0,0.0,339.0085,341.2919,340.1502,-737928.6537,-10848583.0
2018-08-21 14:00,4.1439,4.6716,0.5276,57.1897,51.5128,66.1771,68.1611,83.0299,0.0,100.0,339.3641,340.5765,339.9703,-582432.6174,-10291047.0
2018-08-21 14:30,4.1904,4.3763,0.1859,47.1391,37.7318,38.2747,55.5365,-133.3333,0.0,100.0,337.6242,341.4289,339.5266,-979032.4014,-11047540.0
2018-08-21 15:00,4.1611,4.0437,-0.1174,39.3081,28.6796,33.2617,49.8644,-103.5455,50.0,100.0,336.3417,341.2713,338.8065,-1005097.7279,-11725265.0
2018-08-21 15:30,4.0895,3.8032,-0.2863,30.0817,23.8336,45.5072,39.625,-38.2124,25.0,75.0,336.131,340.732,338.4315,-799276.1262,-10806010.0
2018-08-22 09:30,4.0407,3.8458,-0.1949,29.1082,34.8115,72.9421,47.9965,133.3333,100.0,50.0,335.4066,342.0659,338.7363,-1050131.3698,-8122733.0
2018-08-22 10:00,4.0155,3.9147,-0.1008,36.2113,49.9889,77.3378,54.2751,82.6575,75.0,25.0,335.4437,344.3383,339.891,-1421004.1674,-6953823.0
2018-08-22 10:30,4.0216,4.0458,0.0242,49.6753,64.2255,82.9933,58.984,76.3814,50.0,0.0,337.2101,345.9669,341.5885,-1039329.9878,-6280413.0
2018-08-22 11:00,4.0288,4.0577,0.0289,61.5059,70.3035,73.9621,62.9643,76.7632,25.0,0.0,341.0179,344.8591,342.9385,-1480884.9288,-6853672.0
