date,MACD,MACD_Signal,MACD_Hist,SlowK,SlowD,RSI,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2018-08-20 09:30,-1.1398,-1.2665,0.1268,51.1156,73.2709,21.2825,40.2879,-133.3333,50.0,100.0,173.5425,175.4885,171.5965,-63295809.1512,-44774686.0
2018-08-20 10:00,-1.183,-1.2498,0.0668,32.9281,54.5476,22.5937,46.4273,-98.331,25.0,100.0,172.9475,175.0294,170.8656,-62214663.0247,-42015916.0
2018-08-20 10:30,-1.2183,-1.2435,0.0252,20.2348,34.7595,20.474,51.0319,-67.5885,0.0,75.0,172.3334,173.9635,170.7032,-62053782.0383,-43525833.0
2018-08-20 11:00,-1.1861,-1.232,0.046,29.6701,27.611,42.65,47.9925,13.454,25.0,50.0,171.9809,172.4073,171.5545,-60968787.5204,-42043009.0
2018-08-20 11:30,-1.1553,-1.2167,0.0614,32.8121,27.5723,40.0659,42.2059,94.7319,0.0,25.0,172.0634,172.5217,171.605,-61753417.6597,-43112946.0
2018-08-20 12:00,-1.0761,-1.1886,0.1125,58.7079,40.3967,57.9166,40.4174,87.2018,100.0,0.0,172.2671,172.9794,171.5549,-60828872.6597,-42188401.0
2018-08-20 12:30,-0.9966,-1.1502,0.1535,73.1819,54.9006,59.8859,30.8281,120.6081,100.0,0.0,172.5338,173.0483,172.0193,-60920133.7641,-41147757.0
2018-08-20 13:00,-0.9239,-1.1049,0.1811,87.1673,73.019,59.2868,26.6244,57.1991,100.0,0.0,172.6536,173.1453,172.162,-60817460.6436,-42020633.0
2018-08-20 13:30,-0.8379,-1.0515,0.2136,84.5296,81.6263,68.4991,23.4716,79.5074,75.0,25.0,172.8561,173.0741,172.6382,-60196042.916,-41301421.0
2018-08-20 14:00,-0.7624,-0.9937,0.2313,77.5098,83.0689,67.0253,27.005,133.3333,100.0,0.0,172.9232,173.1405,172.7059,-61180103.0315,-42325843.0
2018-08-20 14:30,-0.7362,-0.9422,0.206,54.1426,72.0607,35.399,23.9322,-83.3128,75.0,100.0,172.8432,173.2791,172.4072,-61875803.317,-43280960.0
2018-08-20 15:00,-0.7138,-0.8965,0.1828,28.7804,53.4776,32.2924,24.7523,-103.5734,50.0,100.0,172.7458,173.3203,172.1713,-61790780.2658,-44216019.0
2018-08-20 15:30,-0.6808,-0.8534,0.1726,15.5092,32.8108,40.1681,22.1312,-22.755,25.0,75.0,172.6133,173.0917,172.1349,-62887019.3777,-42434674.0
2018-08-21 09:30,-0.6106,-0.8048,0.1942,35.6655,26.6517,66.6255,25.8242,-9.3593,0.0,100.0,172.6,173.0329,172.1671,-60657477.3953,-38748763.0
2018-08-21 10:00,-0.4848,-0.7408,0.256,61.3774,37.5174,83.5218,19.5163,133.3333,100.0,75.0,172.9175,173.9867,171.8483,-59400585.2664,-36838279.0
2018-08-21 10:30,-0.4054,-0.6737,0.2683,78.8651,58.636,66.2048,17.4878,69.4812,100.0,50.0,173.1775,174.1364,172.2186,-60059178.2654,-38673917.0
2018-08-21 11:00,-0.4032,-0.6196,0.2164,70.9748,70.4057,38.4388,19.7137,-38.076,75.0,25.0,173.2125,174.077,172.348,-61018146.6617,-40217617.0
2018-08-21 11:30,-0.3538,-0.5664,0.2126,61.5129,70.4509,55.1563,21.3832,-52.2789,50.0,0.0,173.2675,174.0902,172.4448,-60392484.1143,-39179758.0
2018-08-21 12:00,-0.2854,-0.5102,0.2248,57.6253,63.371,63.1089,16.7526,43.184,25.0,50.0,173.2029,173.8864,172.5193,-59806172.393,-38248610.0
2018-08-21 12:30,-0.2415,-0.4565,0.215,60.4088,59.849,56.4089,13.2796,58.1258,0.0,25.0,173.1754,173.8232,172.5275,-59828515.8886,-38897254.0
2018-08-21 13:00,-0.2179,-0.4088,0.1909,58.5222,58.8521,49.0931,12.3104,-9.8636,0.0,0.0,173.3079,173.579,173.0368,-60167819.7734,-39575810.0
2018-08-21 13:30,-0.199,-0.3668,0.1678,55.548,58.1597,47.7813,10.4429,-64.466,25.0,0.0,173.2986,173.5871,173.0101,-60568006.1569,-40338050.0
2018-08-21 14:00,-0.1735,-0.3282,0.1547,53.4321,55.8341,54.2432,9.462,-97.2881,0.0,100.0,173.2357,173.3894,173.0821,-60227875.4476,-39625294.0
2018-08-21 14:30,-0.1866,-0.2998,0.1133,38.7635,49.2479,32.3164,16.9882,-133.3333,50.0,100.0,173.1032,173.4396,172.7669,-60814413.2728,-40567753.0
2018-08-21 15:00,-0.1764,-0.2752,0.0988,34.3984,42.198,47.194,22.6329,-67.0158,25.0,75.0,173.0708,173.3961,172.7454,-60346209.1961,-39873925.0
2018-08-21 15:30,-0.1999,-0.2601,0.0602,22.0816,31.7479,30.7413,32.062,-125.8693,0.0,100.0,172.94,173.4143,172.4657,-61735023.5287,-42007982.0
2018-08-22 09:30,-0.2176,-0.2516,0.034,26.4576,27.6459,30.0754,31.2715,-36.0844,100.0,100.0,172.7775,173.1323,172.4227,-62873781.919,-44621366.0
2018-08-22 10:00,-0.2387,-0.249,0.0104,19.739,22.7594,25.6029,30.6787,-119.4342,75.0,100.0,172.6948,173.1189,172.2706,-63343301.2777,-46148868.0
2018-08-22 10:30,-0.2117,-0.2415,0.0299,33.8346,26.6771,59.5086,30.2341,51.1162,50.0,75.0,172.6823,173.0647,172.2998,-62461993.6819,-45075284.0
2018-08-22 11:00,-0.1738,-0.228,0.0542,45.7467,33.1068,66.6473,35.5671,133.3333,25.0,50.0,172.8197,173.3816,172.2579,-61996623.1207,-44043280.0
2018-08-22 11:30,-0.1548,-0.2134,0.0585,56.844,45.4751,55.1285,29.6085,36.8968,0.0,25.0,172.9222,173.4416,172.4029,-61722894.2168,-44805290.0
2018-08-22 12:00,-0.1726,-0.2052,0.0326,52.1487,51.5798,34.0432,30.1994,-95.1012,50.0,0.0,172.9475,173.3832,172.5118,-62109914.4604,-45630924.0
2018-08-22 12:30,-0.1877,-0.2017,0.014,36.8616,48.6181,32.5017,30.6427,-75.3172,25.0,0.0,172.835,173.3777,172.2923,-62761613.3573,-46330946.0
2018-08-22 13:00,-0.1838,-0.1981,0.0143,30.5938,39.868,46.2926,24.7665,-26.1923,0.0,50.0,172.72,173.0885,172.3515,-62721528.7085,-45706736.0
2018-08-22 13:30,-0.1627,-0.191,0.0283,40.6503,36.0352,59.3179,20.3594,130.059,0.0,25.0,172.695,172.9836,172.4064,-62100284.7085,-45085492.0
2018-08-22 14:00,-0.1298,-0.1788,0.049,64.145,45.1297,68.5709,25.5621,122.0323,100.0,0.0,172.823,173.2382,172.4079,-61506880.6401,-44251455.0
2018-08-22 14:30,-0.1075,-0.1645,0.057,78.8284,61.2079,62.1493,29.464,75.9739,75.0,25.0,172.9455,173.2369,172.6542,-61248669.8834,-44926138.0
2018-08-22 15:00,-0.0162,-0.1349,0.1186,85.4533,76.1422,86.6364,43.3217,133.3333,100.0,0.0,173.253,174.0684,172.4376,-60137332.5672,-43228255.0
2018-08-22 15:30,0.0363,-0.1006,0.137,79.0367,81.1061,70.5804,54.0314,70.984,100.0,0.0,173.4505,174.2295,172.6715,-60734905.9174,-46830332.0
2018-08-23 09:30,0.1656,-0.0474,0.213,81.3034,81.9311,86.2711,63.9412,122.8973,100.0,0.0,173.88,175.154,172.606,-58347980.0214,-43154365.0
2018-08-23 10:00,0.281,0.0183,0.2627,82.819,81.053,87.8303,71.3736,102.9932,75.0,0.0,174.375,175.4872,173.2628,-57140605.0178,-41218081.0
2018-08-23 10:30,0.3522,0.0851,0.2672,83.6336,82.5853,76.2684,77.3522,80.6938,100.0,0.0,174.5925,175.6244,173.5605,-58427744.0164,-42836280.0
2018-08-23 11:00,0.3386,0.1358,0.2028,67.375,77.9425,44.3758,58.8696,-74.6318,75.0,25.0,174.665,175.45,173.8799,-59422113.2846,-44456457.0
2018-08-23 11:30,0.3441,0.1775,0.1666,52.1587,67.7224,52.4591,45.0076,-78.4063,50.0,0.0,174.5224,175.349,173.6959,-59058050.8047,-43554211.0
2018-08-23 12:00,0.3664,0.2152,0.1511,43.1553,54.2297,60.8266,38.1067,-17.2099,25.0,50.0,174.3988,175.0108,173.7869,-58670952.0981,-42784043.0
2018-08-23 12:30,0.3792,0.248,0.1312,45.5735,46.9625,60.538,34.4358,99.2666,0.0,25.0,174.3239,174.7592,173.8886,-58647356.8974,-43441164.0
2018-08-23 13:00,0.3834,0.2751,0.1083,47.6669,45.4653,59.1998,28.7694,21.4671,0.0,0.0,174.4489,174.6794,174.2184,-58333865.0037,-43933799.0
2018-08-23 13:30,0.356,0.2913,0.0647,44.0957,45.7787,39.8333,22.654,-133.3333,50.0,0.0,174.4289,174.7285,174.1293,-58667105.65,-44651518.0
2018-08-23 14:00,0.3216,0.2973,0.0243,32.5732,41.4453,34.7769,18.4442,-87.8185,25.0,0.0,174.3125,174.7153,173.9097,-59303691.6982,-45464944.0
2018-08-23 14:30,0.2807,0.294,-0.0133,24.2619,33.6436,28.98,26.4396,-125.0559,0.0,100.0,174.165,174.5875,173.7425,-59348960.3988,-46280589.0
2018-08-23 15:00,0.2071,0.2766,-0.0695,13.7766,23.5372,15.918,34.8107,-114.9638,25.0,100.0,173.9025,174.4519,173.3531,-60175535.6829,-47198160.0
2018-08-23 15:30,0.1041,0.2421,-0.1381,12.0081,16.6822,9.4972,45.9334,-118.7594,0.0,100.0,173.5875,174.4922,172.6828,-61606294.9289,-49077800.0
2018-08-24 09:30,0.0477,0.2032,-0.1556,10.5158,12.1002,31.3701,35.4933,-21.1838,0.0,75.0,173.38,174.1221,172.6378,-62787066.1668,-46772482.0
2018-08-24 10:00,0.0691,0.1764,-0.1073,37.1704,19.8981,62.6167,27.6632,88.9973,0.0,50.0,173.4125,174.253,172.572,-61556241.5916,-45472183.0
