,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-31 15:25:00,227.3100,227.4500,227.2999,227.4000,65686,5
2018-08-31 15:20:00,227.5379,227.5599,227.2200,227.2900,371507,5
2018-08-31 15:15:00,227.7700,227.8500,227.5300,227.5400,248068,5
2018-08-31 15:10:00,227.8100,227.9200,227.7500,227.7600,184517,5
2018-08-31 15:05:00,227.8500,227.8805,227.7300,227.8335,233889,5
2018-08-31 15:00:00,227.5100,227.9200,227.4900,227.8500,320563,5
2018-08-31 14:55:00,227.6200,227.6200,227.4700,227.5000,182716,5
2018-08-31 14:50:00,227.5200,227.6700,227.4800,227.6100,194796,5
2018-08-31 14:45:00,227.4700,227.6499,227.4700,227.5400,179003,5
2018-08-31 14:40:00,227.6100,227.6300,227.4200,227.4600,221271,5
2018-08-31 14:35:00,227.6052,227.7600,227.5600,227.5900,230053,5
2018-08-31 14:30:00,227.5300,227.6200,227.3700,227.6067,222918,5
2018-08-31 14:25:00,227.0600,227.6000,227.0500,227.5240,318893,5
2018-08-31 14:20:00,227.2700,227.3100,227.0700,227.0700,237661,5
2018-08-31 14:15:00,227.3600,227.5000,227.2600,227.2600,227467,5
2018-08-31 14:10:00,227.5200,227.5200,227.3000,227.3700,236565,5
2018-08-31 14:05:00,227.5800,227.6500,227.5000,227.5100,200273,5
2018-08-31 14:00:00,227.8800,227.9100,227.5510,227.5868,216953,5
2018-08-31 13:55:00,227.7600,227.8800,227.7500,227.8700,157287,5
2018-08-31 13:50:00,227.9100,227.9869,227.7800,227.7800,145402,5
2018-08-31 13:45:00,227.7000,227.9580,227.7000,227.9499,148156,5
2018-08-31 13:40:00,227.9100,227.9199,227.6200,227.6514,186089,5
2018-08-31 13:35:00,227.8800,228.1100,227.7800,227.8800,254019,5
2018-08-31 13:30:00,227.8090,227.9050,227.5000,227.8900,334430,5
2018-08-31 13:25:00,228.2100,228.2100,227.7800,227.8100,313268,5
2018-08-31 13:20:00,228.2000,228.2799,228.1290,228.2400,170386,5
2018-08-31 13:15:00,228.3549,228.4600,228.1500,228.2102,273039,5
2018-08-31 13:10:00,228.5700,228.5900,228.3360,228.3600,282318,5
2018-08-31 13:05:00,228.4500,228.5600,228.3200,228.5200,268854,5
2018-08-31 13:00:00,228.4400,228.4800,228.3100,228.4400,250724,5
2018-08-31 12:55:00,228.1200,228.4700,228.0500,228.4500,269843,5
2018-08-31 12:50:00,228.2200,228.2600,228.0700,228.1600,228628,5
2018-08-31 12:45:00,228.3000,228.4414,228.1600,228.2100,451444,5
2018-08-31 12:40:00,227.8275,228.3000,227.8157,228.3000,575626,5
2018-08-31 12:35:00,227.5900,227.8500,227.5800,227.8302,289252,5
2018-08-31 12:30:00,227.7900,227.8500,227.4567,227.5900,231314,5
2018-08-31 12:25:00,227.4600,227.8000,227.2900,227.8000,272741,5
2018-08-31 12:20:00,227.7156,227.7800,227.3700,227.4242,237201,5
2018-08-31 12:15:00,227.5900,227.9600,227.5900,227.7501,329503,5
2018-08-31 12:10:00,227.5100,227.6700,227.4300,227.6200,323969,5
2018-08-31 12:05:00,227.2700,227.5200,227.0000,227.5100,265148,5
2018-08-31 12:00:00,227.0400,227.3200,226.8775,227.2850,441220,5
2018-08-31 11:55:00,227.1800,227.3800,227.0500,227.0500,331741,5
2018-08-31 11:50:00,226.7100,227.2100,226.7080,227.1600,405849,5
2018-08-31 11:45:00,226.8700,226.9300,226.6300,226.6738,401600,5
2018-08-31 11:40:00,227.2400,227.2400,226.8000,226.8600,455929,5
2018-08-31 11:35:00,227.1200,227.3000,226.9800,227.2400,467705,5
2018-08-31 11:30:00,227.3800,227.5900,227.1260,227.1260,398445,5
2018-08-31 11:25:00,227.8500,227.8600,227.3600,227.3600,448726,5
2018-08-31 11:20:00,227.8900,227.9100,227.6200,227.8900,307381,5
2018-08-31 11:15:00,227.8200,228.0930,227.7900,227.9400,308917,5
2018-08-31 11:10:00,227.9082,228.0303,227.6900,227.8050,386178,5
2018-08-31 11:05:00,228.4500,228.4500,227.9000,227.9118,611701,5
2018-08-31 11:00:00,228.0860,228.5700,228.0860,228.5011,462272,5
2018-08-31 10:55:00,228.2025,228.3400,228.0000,228.0530,366587,5
2018-08-31 10:50:00,227.7300,228.2100,227.6900,228.2100,390258,5
2018-08-31 10:45:00,228.2000,228.2000,227.6200,227.7500,387030,5
2018-08-31 10:40:00,227.8690,228.3700,227.8400,228.1900,569073,5
2018-08-31 10:35:00,227.4500,227.9600,227.4500,227.8600,397695,5
2018-08-31 10:30:00,227.6400,227.6800,227.3000,227.4447,576639,5
2018-08-31 10:25:00,227.4300,228.0000,227.4300,227.6300,744697,5
2018-08-31 10:20:00,228.0500,228.2200,227.3700,227.4200,920350,5
2018-08-31 10:15:00,228.8200,228.8700,228.0815,228.0815,716894,5
2018-08-31 10:10:00,228.2500,228.8500,228.2400,228.7700,591410,5
2018-08-31 10:05:00,228.4200,228.7500,228.1300,228.2350,988065,5
2018-08-31 10:00:00,227.8300,228.4100,227.6200,228.4100,702666,5
2018-08-31 09:55:00,227.8800,228.2000,227.8100,227.8400,660531,5
2018-08-31 09:50:00,227.8260,228.2800,227.8200,227.8594,1037470,5
2018-08-31 09:45:00,227.4200,227.8350,227.3500,227.7800,645465,5
2018-08-31 09:40:00,227.0900,227.8300,227.0800,227.4200,858486,5
2018-08-31 09:35:00,227.7000,227.7000,226.7800,227.1400,1113665,5
2018-08-31 09:30:00,226.5300,227.9900,226.2300,227.7100,2691557,5
2018-08-30 15:55:00,225.0900,225.2000,225.0000,225.0000,1243140,5
2018-08-30 15:50:00,225.0500,225.1700,224.8000,225.0800,604265,5
2018-08-30 15:45:00,224.6400,225.1927,224.6200,225.0700,515485,5
2018-08-30 15:40:00,224.9200,224.9200,224.6200,224.6800,294374,5
2018-08-30 15:35:00,225.1490,225.2700,224.7510,224.8900,528047,5
2018-08-30 15:30:00,225.3600,225.4900,225.0700,225.1400,518813,5
2018-08-30 15:25:00,225.1300,225.4100,224.9200,225.3600,571191,5
2018-08-30 15:20:00,224.7300,225.1700,224.4003,225.1600,662798,5
2018-08-30 15:15:00,224.0200,224.7400,223.8300,224.7100,1006365,5
2018-08-30 15:10:00,224.5100,224.5100,224.0200,224.0400,817165,5
2018-08-30 15:05:00,224.6400,224.9300,224.2300,224.5400,886298,5
2018-08-30 15:00:00,225.1100,225.1300,224.4500,224.6201,988021,5
2018-08-30 14:55:00,225.6100,225.6500,225.1100,225.1201,548955,5
2018-08-30 14:50:00,225.9800,226.0538,225.4700,225.6000,517886,5
