,t_id,text,time_stamp,vader_sentiment,sentiment
0,1035629826885836800,@NetflixFilm @netflix No Harry Potter for the kids in Canada. No Netflix to start the weekend 😑,2018-08-31 20:46:06,-0.5267,neg
1,1035629790458507266,"@RenewTimeless How can? @netflix @amazon @FOXTV @ABCNetwork @nbc 
Let this unique show / brilliant cast come off ai… https://t.co/zrRzdasehd",2018-08-31 20:45:57,0.5859,pos
2,1035629704118657024,@stevendeknight @netflix Do you need help? Blink 3 times in a row or use the word 'supportive' twice in the same se… https://t.co/h52mD03x9K,2018-08-31 20:45:37,0.4019,pos
3,1035629668202733568,@emmacaulfield you need to be in a tv serious stat  !!!  @netflix  @hulu,2018-08-31 20:45:28,-0.2905,neg
4,1035629626217746432,@NetflixFilm @netflix Also maybe a mystery that's not like scary at all!,2018-08-31 20:45:18,0.2047,pos
5,1035629577677287429,@NetflixFilm @netflix Hyped up,2018-08-31 20:45:07,0.0,neutral
6,1035629502926401538,"@NetflixFilm @netflix In a homey, cozy mood. Already seen #tatbilb  many times and nothing compares:(",2018-08-31 20:44:49,0.0,neutral
7,1035629475072012288,"@AdamSandler @netflix Why not gather the old gang: You, Stiller and all the others and shoot a great comedy?",2018-08-31 20:44:42,0.6369,pos
8,1035629432982122497,@NetflixFilm @netflix Or conspiracies,2018-08-31 20:44:32,0.0,neutral
9,1035629378519138304,@netflix can you please renew @GilmoreGirls a year in the life as a (late-ish) birthday present 🎁 please,2018-08-31 20:44:19,0.7579,pos
10,1035629365143498755,@NetflixFilm @netflix In need of aliens,2018-08-31 20:44:16,0.0,neutral
11,1035629339918794752,@NetflixFilm @netflix Demotivated!,2018-08-31 20:44:10,0.0,neutral
12,1035629297665363968,This could be a bingeworthy holiday weekend with new seasons of #Ozark on @Netflix and @JackRyanAmazon.,2018-08-31 20:44:00,0.4019,pos
13,1035629222369345536,@NetflixFilm @netflix @Netflixfilm Rom com suggestions please!,2018-08-31 20:43:42,0.3802,pos
14,1035629192577048576,@NetflixFilm @netflix anything that has cats or peter kavinsky in it,2018-08-31 20:43:35,0.0,neutral
15,1035629174948552705,@NetflixFilm @netflix Excited 😆,2018-08-31 20:43:31,0.5994,pos
16,1035629056224636928,@netflix how long before season 7 of once upon a time goes up?,2018-08-31 20:43:02,0.0,neutral
17,1035628999249219587,"@chimaeriform Dirk was gay, ( he was going to have a romance with assistent ) but we won't get to fucking see that… https://t.co/flv4oXMoNN",2018-08-31 20:42:49,0.3182,pos
18,1035628972007088128,@stevendeknight @netflix Have you announced what that project is?,2018-08-31 20:42:42,0.0,neutral
19,1035628931314008064,😭 not one @PaulyShore movies on @netflix !!! How come?!?,2018-08-31 20:42:32,-0.6836,neg
20,1035628875290697728,@NetflixFilm @netflix Something like The intouchables ?,2018-08-31 20:42:19,0.3612,pos
21,1035628796500733952,Who thought they would live long enough to see Orson Welles THE OTHER SIDE OF THE WIND listed on Rotten Tomatoes??… https://t.co/CNQ8oLFUsr,2018-08-31 20:42:00,-0.5661,neg
22,1035628768688136192,@gratefuladdict @netflix @cantmakethisup can you help a friend out?,2018-08-31 20:41:54,0.7096,pos
23,1035628701499764742,"@curieluis @netflix You need a heist movie, my friend.
Spike Lee’s Inside Man has:
☑️ Denzel Washington
☑️ Jodie Fo… https://t.co/bPzTVqQZX3",2018-08-31 20:41:38,0.4939,pos
24,1035628652157915137,"@NetflixFilm @netflix Im hungry, tired, and bored",2018-08-31 20:41:26,-0.6124,neg
25,1035628611812896773,"@NetflixFilm @netflix Really would like to see a ""who done it"" tonight after work.",2018-08-31 20:41:16,0.4173,pos
26,1035628592711921664,@NetflixFilm @netflix harry potter,2018-08-31 20:41:12,0.0,neutral
27,1035628591537639426,Thank you @netflix for this excellent news https://t.co/Q9yyzVTJ6a,2018-08-31 20:41:11,0.783,pos
28,1035628589952245760,@its_btbess @netflix Thanks!! but i already watched that movie a few days ago hahaha,2018-08-31 20:41:11,0.8143,pos
29,1035628521211801600,"@matty_mcmullen @netflix Today, episodes currently up",2018-08-31 20:40:55,0.0,neutral
30,1035628507022454784,@NetflixFilm @netflix @netflix I’m feeling romantic,2018-08-31 20:40:51,0.4939,pos
31,1035628407785172994,@mohammedmohewer @netflix Watching already. Issa spine-chill! 💯,2018-08-31 20:40:28,0.0,neutral
32,1035628372485922816,@NetflixFilm @netflix Sick as hell,2018-08-31 20:40:19,-0.836,neg
33,1035628346225217536,@NetflixFilm @netflix Spooky,2018-08-31 20:40:13,0.0,neutral
34,1035628327715958792,@ellenvdf2 @netflix To all the boys I’ve loved before!,2018-08-31 20:40:09,0.636,pos
35,1035628277380132864,but why no Drake &amp; Josh @netflix,2018-08-31 20:39:57,-0.4215,neg
36,1035628268307836928,@annatea16 @netflix If you want to lean into that feeling — The Family Man always manages to throw me into an exist… https://t.co/421wKFEuXc,2018-08-31 20:39:54,0.2023,pos
37,1035628210665533441,"Stretch your mind this weekend with #themostunknown. Another kind of @netflix and #chill, way beyond our comprehens… https://t.co/c8Wv4rUjoK",2018-08-31 20:39:41,0.0,neutral
38,1035628162242277376,@NetflixFilm @netflix @NetflixFilm in mood for a crime/murder thriller,2018-08-31 20:39:29,0.1027,pos
39,1035628080667258881,@NetflixFilm @netflix should i watch To all the boys i’ve loved before for the 30th time,2018-08-31 20:39:10,0.5994,pos
40,1035628037730181120,@netflix okay y'all you can have your new original shows but put lemonade mouth back,2018-08-31 20:38:59,0.2732,pos
41,1035627989751529472,@NetflixFilm @netflix Nostalgic!!!!! And ready for wine 🍷😉,2018-08-31 20:38:48,0.5673,pos
42,1035627929017962496,"@NetflixFilm @netflix Give me a non awful/cheesy, unknown horror film",2018-08-31 20:38:33,-0.5719,neg
43,1035627857437962247,@NetflixFilm @netflix In need of a laugh,2018-08-31 20:38:16,0.5574,pos
44,1035627813729128449,"When @netflix tells you YEAR ONE is available and your #BatPrivilege tingles just to see this:

#dyecb… https://t.co/RKkIQ9D6BC",2018-08-31 20:38:06,0.0,neutral
