,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-31 15:55:00,367.67,367.8,367.4707,367.8,992649,5
2018-08-31 15:50:00,367.23,368.695,367.23,367.6541,267010,5
2018-08-31 15:45:00,367.96,368.05,367.12,367.2,144391,5
2018-08-31 15:40:00,367.54,367.842,367.2001,367.8,77278,5
2018-08-31 15:35:00,367.5699,367.7368,367.4626,367.64,105822,5
2018-08-31 15:30:00,367.21,367.75,367.11,367.475,142012,5
2018-08-31 15:25:00,368.02,368.05,367.19,367.26,150380,5
2018-08-31 15:20:00,369.52,369.52,368.1332,368.14,135714,5
2018-08-31 15:15:00,369.09,369.47,369.0,369.47,44391,5
2018-08-31 15:10:00,369.48,369.48,369.15,369.15,32156,5
2018-08-31 15:05:00,369.54,369.61,369.25,369.4195,56520,5
2018-08-31 15:00:00,369.09,369.75,369.09,369.53,89563,5
2018-08-31 14:55:00,369.31,369.46,369.0,369.0542,42127,5
2018-08-31 14:50:00,369.66,369.91,369.18,369.48,60208,5
2018-08-31 14:45:00,369.459,370.09,369.378,369.69,78698,5
2018-08-31 14:40:00,369.55,369.7499,369.0,369.3285,58468,5
2018-08-31 14:35:00,369.3,369.6873,369.2,369.4162,68874,5
2018-08-31 14:30:00,370.12,370.15,369.35,369.4,90557,5
2018-08-31 14:25:00,370.49,370.5,369.9,370.1359,59825,5
2018-08-31 14:20:00,370.87,370.92,369.89,370.45,93980,5
2018-08-31 14:15:00,370.81,370.98,370.7054,370.86,39110,5
2018-08-31 14:10:00,370.93,370.97,370.54,370.86,72795,5
2018-08-31 14:05:00,371.05,371.47,370.67,370.85,43952,5
2018-08-31 14:00:00,371.334,371.61,371.0,371.0,69947,5
2018-08-31 13:55:00,370.8,371.279,370.69,371.2003,70448,5
2018-08-31 13:50:00,371.284,371.57,370.84,370.84,64117,5
2018-08-31 13:45:00,371.46,371.795,371.41,371.41,27702,5
2018-08-31 13:40:00,371.62,371.652,371.36,371.419,25063,5
2018-08-31 13:35:00,371.81,371.9,371.5,371.57,41317,5
2018-08-31 13:30:00,371.8,371.85,371.12,371.73,96497,5
2018-08-31 13:25:00,372.45,372.45,371.89,371.94,81848,5
2018-08-31 13:20:00,372.46,372.6174,372.42,372.45,50359,5
2018-08-31 13:15:00,372.73,372.8,372.3717,372.47,47816,5
2018-08-31 13:10:00,372.8839,372.8839,372.47,372.6,28257,5
2018-08-31 13:05:00,372.57,373.05,372.43,372.84,29044,5
2018-08-31 13:00:00,372.72,372.72,372.34,372.69,30925,5
2018-08-31 12:55:00,372.9,372.9,372.47,372.75,38175,5
2018-08-31 12:50:00,372.88,373.19,372.77,372.95,34934,5
2018-08-31 12:45:00,372.494,373.155,372.494,372.91,43496,5
2018-08-31 12:40:00,372.54,372.67,372.265,372.57,39332,5
2018-08-31 12:35:00,372.4783,373.03,372.4783,372.61,36674,5
2018-08-31 12:30:00,372.3958,372.3958,371.6,372.2033,73564,5
2018-08-31 12:25:00,372.87,372.87,371.9846,372.32,49708,5
2018-08-31 12:20:00,372.835,373.03,372.4,372.77,42993,5
2018-08-31 12:15:00,372.6907,373.23,372.68,372.89,54808,5
2018-08-31 12:10:00,372.39,372.71,372.17,372.6393,40976,5
2018-08-31 12:05:00,371.97,372.51,371.723,372.4902,54595,5
2018-08-31 12:00:00,372.15,372.15,370.85,371.97,107368,5
2018-08-31 11:55:00,372.5013,372.5013,372.08,372.13,30844,5
2018-08-31 11:50:00,372.27,372.6946,372.27,372.46,86539,5
2018-08-31 11:45:00,372.36,372.36,371.6258,372.0735,98454,5
2018-08-31 11:40:00,374.17,374.17,372.41,372.41,117679,5
2018-08-31 11:35:00,373.68,374.25,373.64,374.23,49495,5
2018-08-31 11:30:00,374.0445,374.35,373.79,374.03,41295,5
2018-08-31 11:25:00,374.462,374.67,373.934,373.934,67285,5
2018-08-31 11:20:00,374.1925,374.45,373.6,374.41,54296,5
2018-08-31 11:15:00,373.9,374.406,373.69,374.38,51355,5
2018-08-31 11:10:00,373.59,374.3114,373.415,374.19,101783,5
2018-08-31 11:05:00,375.86,375.86,373.7,373.7,137101,5
2018-08-31 11:00:00,375.1,375.79,375.1,375.79,129481,5
2018-08-31 10:55:00,375.21,375.21,374.67,374.98,70552,5
2018-08-31 10:50:00,374.48,375.1297,374.43,375.1297,96585,5
2018-08-31 10:45:00,373.7219,374.41,373.7219,374.41,117530,5
2018-08-31 10:40:00,373.68,374.03,373.5,373.7803,56759,5
2018-08-31 10:35:00,373.7,373.85,373.3589,373.48,89839,5
2018-08-31 10:30:00,374.14,374.23,373.6,373.74,71298,5
2018-08-31 10:25:00,375.13,375.13,373.7,374.06,156676,5
2018-08-31 10:20:00,374.6038,375.045,374.18,375.045,166057,5
2018-08-31 10:15:00,374.7532,374.839,374.4027,374.52,130629,5
2018-08-31 10:10:00,373.6,374.706,373.6,374.706,84469,5
2018-08-31 10:05:00,373.83,374.36,373.55,373.7383,139727,5
2018-08-31 10:00:00,373.0112,373.97,373.0112,373.7,136574,5
2018-08-31 09:55:00,374.36,374.36,372.4962,372.97,165435,5
2018-08-31 09:50:00,374.7,375.15,373.96,374.46,108623,5
2018-08-31 09:45:00,374.8,374.8,373.51,374.25,197617,5
2018-08-31 09:40:00,375.75,375.75,374.591,375.03,231205,5
2018-08-31 09:35:00,372.31,376.0,371.66,376.0,343158,5
2018-08-31 09:30:00,370.49,373.38,370.49,372.5,293169,5
