Unnamed: 0,day,day compound avg,day positive avg,day negative avg,day neutral avg,two day neutral avg,two day positive avg,two day negative avg,two day compound avg,two day Other compound avg,two day the-next-web compound avg,two day techradar compound avg,two day the-guardian-au compound avg,two day usa-today compound avg,two day daily-mail compound avg,two day techcrunch compound avg,two day Other neg avg,two day the-next-web neg avg,two day techradar neg avg,two day the-guardian-au neg avg,two day usa-today neg avg,two day daily-mail neg avg,two day techcrunch neg avg,two day Other pos avg,two day the-next-web pos avg,two day techradar pos avg,two day the-guardian-au pos avg,two day usa-today pos avg,two day daily-mail pos avg,two day techcrunch pos avg,two day Other neu avg,two day the-next-web neu avg,two day techradar neu avg,two day the-guardian-au neu avg,two day usa-today neu avg,two day daily-mail neu avg,two day techcrunch neu avg,one day Other compound avg,one day the-next-web compound avg,one day techradar compound avg,one day the-guardian-au compound avg,one day usa-today compound avg,one day daily-mail compound avg,one day techcrunch compound avg,one day Other neg avg,one day the-next-web neg avg,one day techradar neg avg,one day the-guardian-au neg avg,one day usa-today neg avg,one day daily-mail neg avg,one day techcrunch neg avg,one day Other pos avg,one day the-next-web pos avg,one day techradar pos avg,one day the-guardian-au pos avg,one day usa-today pos avg,one day daily-mail pos avg,one day techcrunch pos avg,one day Other neu avg,one day the-next-web neu avg,one day techradar neu avg,one day the-guardian-au neu avg,one day usa-today neu avg,one day daily-mail neu avg,one day techcrunch neu avg
2018-08-30 15:00:00,2018-08-30,0.9978666666666666,0.145,0.014333333333333335,0.8408333333333333,0.8659090909090909,0.1176969696969697,0.016393939393939395,0.9862666666666666,0.9883000000000002,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01655555555555556,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12188888888888891,0.12,0.081,0.165,0.175,0.128,0.065,0.8615555555555555,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9974999999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.013000000000000001,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.141,0.12,0.081,0.165,0.175,0.128,0.065,0.8462,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 14:30:00,2018-08-30,0.9978666666666666,0.145,0.014333333333333335,0.8408333333333333,0.8659090909090909,0.1176969696969697,0.016393939393939395,0.9862666666666666,0.9883000000000002,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01655555555555556,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12188888888888891,0.12,0.081,0.165,0.175,0.128,0.065,0.8615555555555555,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9974999999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.013000000000000001,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.141,0.12,0.081,0.165,0.175,0.128,0.065,0.8462,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 14:00:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 13:30:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 13:00:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 12:30:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 12:00:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 11:30:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 11:00:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
2018-08-30 10:30:00,2018-08-30,0.9976800000000001,0.13640000000000002,0.016000000000000004,0.8478,0.86778125,0.1155,0.01671875,0.9858750000000001,0.9878961538461539,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.016961538461538465,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.11934615384615385,0.12,0.081,0.165,0.175,0.128,0.065,0.8636923076923076,0.851,0.907,0.8140000000000001,0.812,0.821,0.927,0.9971749999999999,0.9841,0.9720333333333334,0.9997,0.9990000000000001,0.9999,0.9628,0.01475,0.028999999999999998,0.012000000000000002,0.021,0.013000000000000001,0.051,0.008,0.12925,0.12,0.081,0.165,0.175,0.128,0.065,0.85625,0.851,0.907,0.8140000000000001,0.812,0.821,0.927
