,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-30 15:25:00,18.8249,18.8700,18.8200,18.8600,8354,5
2018-08-30 15:20:00,18.9000,18.9000,18.7700,18.8105,14569,5
2018-08-30 15:15:00,18.8000,18.9100,18.7700,18.9100,12638,5
2018-08-30 15:10:00,18.9330,18.9330,18.8799,18.8799,14145,5
2018-08-30 15:05:00,18.8500,18.9200,18.8500,18.9100,15769,5
2018-08-30 15:00:00,19.0000,19.0100,18.8100,18.8264,54387,5
2018-08-30 14:55:00,19.0500,19.0500,19.0000,19.0000,7702,5
2018-08-30 14:50:00,19.0149,19.0350,19.0149,19.0300,5260,5
2018-08-30 14:45:00,19.1500,19.1500,19.0100,19.0150,26330,5
2018-08-30 14:40:00,19.1766,19.1766,19.1735,19.1735,3965,5
2018-08-30 14:35:00,19.2000,19.2000,19.1623,19.1623,18955,5
2018-08-30 14:30:00,19.2900,19.2900,19.2000,19.2100,34811,5
2018-08-30 14:25:00,19.2500,19.2500,19.2491,19.2491,722,5
2018-08-30 14:20:00,19.2500,19.2800,19.2200,19.2300,20852,5
2018-08-30 14:15:00,19.2700,19.2700,19.2600,19.2600,2737,5
2018-08-30 14:10:00,19.2766,19.2900,19.2500,19.2500,6830,5
2018-08-30 14:05:00,19.2800,19.2900,19.2800,19.2900,3476,5
2018-08-30 14:00:00,19.2400,19.2980,19.2400,19.2980,2842,5
2018-08-30 13:55:00,19.2500,19.2500,19.2403,19.2403,314,5
2018-08-30 13:50:00,19.2800,19.2800,19.2400,19.2400,1751,5
2018-08-30 13:45:00,19.3200,19.3300,19.2601,19.2601,9749,5
2018-08-30 13:40:00,19.2900,19.2973,19.2400,19.2973,26443,5
2018-08-30 13:35:00,19.3000,19.3100,19.2900,19.3100,8562,5
2018-08-30 13:30:00,19.3000,19.3000,19.2300,19.2899,16426,5
2018-08-30 13:25:00,19.3200,19.3200,19.3000,19.3200,6909,5
2018-08-30 13:20:00,19.3800,19.3800,19.3000,19.3000,7644,5
2018-08-30 13:15:00,19.4490,19.4490,19.4200,19.4200,2820,5
2018-08-30 13:10:00,19.4500,19.4500,19.3800,19.3800,2363,5
2018-08-30 13:05:00,19.4218,19.4218,19.2910,19.2910,7037,5
2018-08-30 13:00:00,19.4200,19.4299,19.4043,19.4299,2003,5
2018-08-30 12:55:00,19.4400,19.4700,19.3200,19.4700,16800,5
2018-08-30 12:50:00,19.5050,19.5050,19.4500,19.4500,15464,5
2018-08-30 12:45:00,19.5199,19.5199,19.5050,19.5050,2413,5
2018-08-30 12:40:00,19.4700,19.5100,19.4200,19.5100,14785,5
2018-08-30 12:35:00,19.5400,19.5500,19.4700,19.5033,7394,5
2018-08-30 12:30:00,19.5200,19.5600,19.5200,19.5600,5062,5
2018-08-30 12:25:00,19.5600,19.5600,19.5250,19.5500,1832,5
2018-08-30 12:20:00,19.5100,19.5800,19.5100,19.5800,3468,5
2018-08-30 12:15:00,19.5800,19.5800,19.4800,19.5200,12217,5
2018-08-30 12:10:00,19.4750,19.5200,19.4700,19.5200,1980,5
2018-08-30 12:05:00,19.5100,19.5100,19.5100,19.5100,185,5
2018-08-30 12:00:00,19.5160,19.5584,19.4600,19.4600,8600,5
2018-08-30 11:55:00,19.5200,19.5200,19.4900,19.5000,14825,5
2018-08-30 11:50:00,19.4100,19.5300,19.4100,19.4928,5509,5
2018-08-30 11:45:00,19.5250,19.5250,19.4160,19.4160,5164,5
2018-08-30 11:40:00,19.5100,19.5250,19.4800,19.5250,7967,5
2018-08-30 11:35:00,19.5700,19.5700,19.5350,19.5350,8427,5
2018-08-30 11:30:00,19.5000,19.5800,19.5000,19.5800,5707,5
2018-08-30 11:25:00,19.5000,19.6000,19.5000,19.6000,11678,5
2018-08-30 11:20:00,19.5750,19.6000,19.5725,19.6000,2565,5
2018-08-30 11:15:00,19.5511,19.5800,19.5500,19.5500,4689,5
2018-08-30 11:10:00,19.5800,19.5900,19.5700,19.5900,11938,5
2018-08-30 11:05:00,19.5500,19.5500,19.5150,19.5447,8542,5
2018-08-30 11:00:00,19.4500,19.5500,19.4500,19.5500,12975,5
2018-08-30 10:55:00,19.5758,19.5900,19.5400,19.5400,3834,5
2018-08-30 10:50:00,19.5700,19.5700,19.5700,19.5700,1586,5
2018-08-30 10:45:00,19.6000,19.6000,19.5700,19.5700,17468,5
2018-08-30 10:40:00,19.5600,19.5600,19.5101,19.5101,3502,5
2018-08-30 10:35:00,19.5300,19.6650,19.4400,19.5400,56568,5
2018-08-30 10:30:00,19.4900,19.5300,19.4000,19.4500,53918,5
2018-08-30 10:25:00,19.5700,19.5737,19.5400,19.5600,7833,5
2018-08-30 10:20:00,19.6300,19.6300,19.5800,19.5800,25322,5
2018-08-30 10:15:00,19.5894,19.6400,19.5894,19.6000,6604,5
2018-08-30 10:10:00,19.6093,19.6252,19.5900,19.5900,12465,5
2018-08-30 10:05:00,19.6000,19.6334,19.6000,19.6334,22135,5
2018-08-30 10:00:00,19.6300,19.6750,19.6000,19.6400,31938,5
2018-08-30 09:55:00,19.6000,19.6500,19.5700,19.6000,88371,5
2018-08-30 09:50:00,19.5400,19.5991,19.5400,19.5991,17736,5
2018-08-30 09:45:00,19.5820,19.6000,19.5800,19.5800,24624,5
2018-08-30 09:40:00,19.7000,19.7000,19.6417,19.6417,27283,5
2018-08-30 09:35:00,19.7804,19.7804,19.7500,19.7500,46268,5
2018-08-30 09:30:00,19.7600,19.7990,19.7250,19.7500,67375,5
2018-08-29 15:55:00,19.2498,19.2621,19.2200,19.2391,55444,5
2018-08-29 15:50:00,19.2800,19.2800,19.2415,19.2415,18720,5
2018-08-29 15:45:00,19.2301,19.2800,19.2300,19.2800,19276,5
2018-08-29 15:40:00,19.3250,19.3250,19.2398,19.2398,24699,5
2018-08-29 15:35:00,19.3600,19.3800,19.2500,19.2500,24228,5
2018-08-29 15:30:00,19.4000,19.4000,19.3200,19.3200,26668,5
2018-08-29 15:25:00,19.3700,19.4190,19.3200,19.3300,10689,5
2018-08-29 15:20:00,19.4094,19.4094,19.3300,19.3600,7950,5
2018-08-29 15:15:00,19.4600,19.4800,19.3498,19.3800,25854,5
2018-08-29 15:10:00,19.5800,19.5800,19.4100,19.4100,19348,5
2018-08-29 15:05:00,19.3695,19.4800,19.3695,19.4800,23806,5
2018-08-29 15:00:00,19.4050,19.4900,19.3700,19.3700,72461,5
2018-08-29 14:55:00,19.3952,19.3952,19.3750,19.3750,2489,5
2018-08-29 14:50:00,19.3400,19.4400,19.3400,19.4400,7211,5
2018-08-29 14:45:00,19.3500,19.3500,19.3200,19.3499,11877,5
2018-08-29 14:40:00,19.3522,19.3522,19.3000,19.3519,6274,5
2018-08-29 14:35:00,19.4000,19.4300,19.4000,19.4000,8645,5
2018-08-29 14:30:00,19.3400,19.4500,19.2900,19.4033,16635,5
2018-08-29 14:25:00,19.3900,19.3900,19.3000,19.3900,13192,5
2018-08-29 14:20:00,19.4000,19.4900,19.3800,19.4900,17576,5
2018-08-29 14:15:00,19.4600,19.5393,19.4600,19.4700,11803,5
2018-08-29 14:10:00,19.5000,19.5483,19.5000,19.5400,4025,5
2018-08-29 14:05:00,19.5500,19.5800,19.4500,19.5800,102189,5
2018-08-29 14:00:00,19.6289,19.6289,19.5520,19.5613,7684,5
2018-08-29 13:55:00,19.7000,19.7000,19.6200,19.6200,7191,5
2018-08-29 13:50:00,19.7092,19.7399,19.7092,19.7375,16137,5
2018-08-29 13:30:00,19.7000,19.7180,19.6200,19.7180,16921,5
2018-08-29 13:25:00,19.7320,19.7500,19.7000,19.7317,8244,5
2018-08-30 15:15:00,18.8000,18.9100,18.7700,18.8600,35561,15
2018-08-30 15:00:00,19.0000,19.0100,18.8100,18.8799,84301,15
2018-08-30 14:45:00,19.1500,19.1500,19.0000,19.0000,39292,15
2018-08-30 14:30:00,19.2900,19.2900,19.1623,19.1735,57731,15
2018-08-30 14:15:00,19.2700,19.2800,19.2200,19.2491,24311,15
2018-08-30 14:00:00,19.2400,19.2980,19.2400,19.2500,13148,15
2018-08-30 13:45:00,19.3200,19.3300,19.2400,19.2403,11814,15
2018-08-30 13:30:00,19.3000,19.3100,19.2300,19.2973,51431,15
2018-08-30 13:15:00,19.4490,19.4490,19.3000,19.3200,17373,15
2018-08-30 13:00:00,19.4200,19.4500,19.2910,19.3800,11403,15
2018-08-30 12:45:00,19.5199,19.5199,19.3200,19.4700,34677,15
2018-08-30 12:30:00,19.5200,19.5600,19.4200,19.5100,27241,15
2018-08-30 12:15:00,19.5800,19.5800,19.4800,19.5500,17517,15
2018-08-30 12:00:00,19.5160,19.5584,19.4600,19.5200,10765,15
2018-08-30 11:45:00,19.5250,19.5300,19.4100,19.5000,25498,15
2018-08-30 11:30:00,19.5000,19.5800,19.4800,19.5250,22101,15
2018-08-30 11:15:00,19.5511,19.6000,19.5000,19.6000,18932,15
2018-08-30 11:00:00,19.4500,19.5900,19.4500,19.5900,33455,15
2018-08-30 10:45:00,19.6000,19.6000,19.5400,19.5400,22888,15
2018-08-30 10:30:00,19.4900,19.6650,19.4000,19.5101,113988,15
2018-08-30 10:15:00,19.5894,19.6400,19.5400,19.5600,39759,15
2018-08-30 10:00:00,19.6300,19.6750,19.5900,19.5900,66538,15
2018-08-30 09:45:00,19.5820,19.6500,19.5400,19.6000,130731,15
2018-08-30 09:30:00,19.7600,19.7990,19.6417,19.6417,140926,15
2018-08-29 15:45:00,19.2301,19.2900,19.2200,19.2500,90274,15
2018-08-29 15:30:00,19.3600,19.4493,19.2400,19.2400,76663,15
2018-08-29 15:15:00,19.4600,19.4800,19.3200,19.3275,43473,15
