date,MACD_Signal,MACD_Hist,MACD,SlowK,SlowD,RSI,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2018-08-20 09:30,0.2626,0.0664,0.3289,69.6082,61.0456,89.3834,35.4549,133.3333,100.0,50.0,18.5773,18.1202,19.0344,6451112.822,11967527.0
2018-08-20 10:00,0.2837,0.0845,0.3682,79.1741,70.9573,91.9591,45.9522,75.5414,75.0,25.0,18.7623,18.1524,19.3722,6528514.5799,12070730.0
2018-08-20 10:30,0.309,0.1013,0.4103,81.4526,76.745,94.0457,55.0461,92.2106,100.0,0.0,18.9887,18.3547,19.6228,6602455.42,12163363.0
2018-08-20 11:00,0.3335,0.0978,0.4313,88.5739,83.0669,80.8482,62.0807,68.4457,100.0,0.0,19.1795,18.901,19.458,6552310.372,12066080.0
2018-08-20 11:30,0.3539,0.0816,0.4354,84.8411,84.9559,68.0934,58.2757,-14.5999,75.0,0.0,19.2272,19.0694,19.385,6533996.9888,12004789.0
2018-08-20 12:00,0.3697,0.0633,0.4329,71.7276,81.7142,66.4987,55.422,-66.8629,50.0,0.0,19.2273,19.0697,19.3849,6511033.6374,11974732.0
2018-08-20 12:30,0.3832,0.054,0.4371,64.3909,73.6532,76.3268,56.0494,47.7119,25.0,50.0,19.2136,19.0946,19.3326,6546595.7198,12049806.0
2018-08-20 13:00,0.393,0.0393,0.4323,58.0679,64.7288,68.6343,56.5199,60.7054,0.0,25.0,19.2128,19.0948,19.3309,6543922.6288,12027418.0
2018-08-20 13:30,0.3991,0.0244,0.4235,59.8766,60.7785,68.6343,54.5296,28.2936,50.0,0.0,19.2351,19.132,19.3382,6546939.4506,12027418.0
2018-08-20 14:00,0.4044,0.0211,0.4254,71.7504,63.2317,82.1934,58.3529,133.3333,100.0,0.0,19.3025,19.1629,19.4421,6609127.4506,12089606.0
2018-08-20 14:30,0.4089,0.018,0.4268,86.0373,72.5548,85.2035,63.1311,107.289,100.0,0.0,19.35,19.1455,19.5545,6641744.6753,12148318.0
2018-08-20 15:00,0.4118,0.0117,0.4235,96.4841,84.7573,85.503,61.7278,61.6366,75.0,25.0,19.4089,19.2184,19.5994,6687753.467,12198426.0
2018-08-20 15:30,0.4113,-0.002,0.4093,85.3729,89.2981,60.2314,54.117,-23.0074,50.0,0.0,19.4464,19.3722,19.5206,6667157.1432,12095447.0
2018-08-21 09:30,0.4253,0.0559,0.4812,79.3461,87.0677,93.4484,63.6294,133.3333,100.0,0.0,19.7164,18.809,20.6238,6806496.1564,12575275.0
2018-08-21 10:00,0.4466,0.0854,0.5321,72.5701,79.0964,93.4484,70.7637,71.5416,75.0,50.0,19.9714,18.9124,21.0304,6885323.199,12575275.0
2018-08-21 10:30,0.4734,0.1069,0.5802,79.1651,77.0271,94.7291,76.4705,66.6367,50.0,25.0,20.27,19.2547,21.2853,6938849.5533,12696482.0
2018-08-21 11:00,0.5011,0.111,0.6121,82.7957,78.177,94.8044,80.7506,81.9623,25.0,0.0,20.5925,20.4074,20.7776,6943856.6234,12761572.0
2018-08-21 11:30,0.5277,0.1064,0.6342,86.6341,82.865,95.2558,84.0591,75.9156,0.0,0.0,20.6525,20.4706,20.8344,6992693.646,12880180.0
2018-08-21 12:00,0.562,0.1372,0.6992,90.8499,86.7599,98.1744,87.3992,133.3333,100.0,0.0,20.885,20.254,21.516,7400048.522,13299695.0
2018-08-21 12:30,0.6006,0.1544,0.755,87.129,88.2043,98.4662,90.1455,106.0465,100.0,0.0,21.1125,20.3087,21.9163,7294211.6492,13828876.0
2018-08-21 13:00,0.639,0.1535,0.7925,83.4071,87.1287,98.5251,92.2053,69.3928,75.0,25.0,21.345,20.6316,22.0584,7216741.4848,14015364.0
2018-08-21 13:30,0.6808,0.1674,0.8482,79.8953,83.4771,99.1607,93.8965,113.6733,100.0,0.0,21.6759,21.2056,22.1462,7374640.1132,14364944.0
2018-08-21 14:00,0.7169,0.1443,0.8611,77.9187,80.407,73.9246,95.1649,35.3788,75.0,0.0,21.7684,21.3916,22.1451,7308182.252,14147441.0
2018-08-21 14:30,0.7286,0.0468,0.7753,55.2804,71.0315,30.9204,77.0079,-133.3333,50.0,100.0,21.5509,20.5409,22.5608,7017069.1475,13782002.0
2018-08-21 15:00,0.7135,-0.0605,0.653,32.4514,55.2168,21.828,71.748,-111.0251,25.0,100.0,21.1809,19.613,22.7487,6987469.9829,13383289.0
