,t_id,text,time_stamp,vader_sentiment,sentiment
0,1034574759449649152,@BedrockLA @Sonos @tunein Miss this,2018-08-28 22:53:38,-0.1531,neg
1,1034572216611074048,"@mikehesselmial @Sonos @Sonos ""favorited"" the Tweet so I think they know I did the right thing.",2018-08-28 22:43:32,0.0,neutral
2,1034571164260225027,@FriendDefault @Sonos Should've chosen contemporary pop country,2018-08-28 22:39:21,0.0,neutral
3,1034565820381319168,"Wow, so cool of apple to code that into airport expresses!!! Sorry to hear @Sonos burning you. https://t.co/rBa1jrQLeu",2018-08-28 22:18:07,0.7887,pos
4,1034563057136087040,@iozjrok @Sonos Not yet. Nowhere near. Sonos is miles better. But Sonos is being rapidly overtaken by everything el… https://t.co/tYCBszYUar,2018-08-28 22:07:08,0.2382,pos
5,1034562462450941952,@thomasknox @Sonos I’ve got naim muso. Not interested in Alexa. Sonos has great sound I doubt the alexa etc can match it,2018-08-28 22:04:46,0.088,pos
6,1034560568395481088,"@DavidDPaxton @Sonos Never worked for me. And oh, I tried.

I am just waiting for Amazon or Google to bring out the… https://t.co/i8SVOVY6XH",2018-08-28 21:57:15,0.1779,pos
7,1034560417106944005,Who’s ready for the @MaddreyPLLC Happy Hour?! 🎉 The jams are already blasting from our @Sonos speakers! https://t.co/qhfhO5TtcS,2018-08-28 21:56:39,0.8585,pos
8,1034557797072084994,@DavidDPaxton @Sonos That's their only hope. But the interface is terrible. Never works.,2018-08-28 21:46:14,-0.4939,neg
9,1034556913491554304,"@scratchal @Sonos Yep. Bose are doomed as well. Amazon, Google and Apple are destroying everything in their path",2018-08-28 21:42:43,-0.5859,neg
10,1034556625695195136,@thomasknox @Sonos We were offered a dealership. Couldn't make any money from them. Same as Bose who want to run yo… https://t.co/OiW40R276Q,2018-08-28 21:41:35,0.0772,pos
11,1034555731456999424,"Feel sorry for @sonos - they were the brilliant, sonorous, wifi music future about two years ago, but are now being… https://t.co/MJ9VsqyQZy",2018-08-28 21:38:02,0.3071,pos
12,1034553764924010496,"Send the Wild Country Spotify Playlist to your @Sonos &amp; you'll hear Heavy by @Davidnail &amp; the Well Ravens, featurin… https://t.co/3RWfDbQnJS",2018-08-28 21:30:13,0.2732,pos
13,1034551553649270784,@MacFormat @stroughtonsmith Yet @Sonos can’t possibly bring it to old speakers 🙄  looking forward to Apple releasin… https://t.co/BkZb0crvXk,2018-08-28 21:21:26,0.0,neutral
14,1034549207821156352,"HomePod, AppleTV, and Airport Express all playing in sync via Airplay 2! Goodbye @Sonos! https://t.co/oFKBupxFcz",2018-08-28 21:12:06,0.3365,pos
15,1034547272812515328,@shorty8664 @Sonos You have excellent taste.,2018-08-28 21:04:25,0.5719,pos
16,1034533923597045762,Apple updating almost 10 year old tech to use Air Play 2 and @Sonos states the Playbar cannot be updated to due to… https://t.co/gUoGsUe1pn,2018-08-28 20:11:22,0.34,pos
17,1034530057694404608,Turn your speakers into a music streaming system with the @Sonos CONNECT:AMP and 2-way speaker system. Stream all y… https://t.co/725ZmnJvxj,2018-08-28 19:56:01,0.0,neutral
18,1034529069008912384,Wow! ⁦@Bose⁩ throws down the gauntlet on ⁦@Sonos⁩  as it unveils new smart speaker and soundbars with Alexa voice c… https://t.co/4eTZ8WyL9x,2018-08-28 19:52:05,0.7777,pos
19,1034526577349062657,"Surely there must be a cheaper way to connect a stereo to a @Sonos setup than spending £350 quid on a ""connect"" box… https://t.co/AzWlyuzFUC",2018-08-28 19:42:11,0.4404,pos
20,1034523562718244864,"Makes the @sonos “oh the play:1, play:3, and Playbar don’t have enough CPU for AirPlay 2” seem disingenuous https://t.co/B7OH2uFJ1e",2018-08-28 19:30:12,0.0,neutral
21,1034523479989776384,"My @Sonos keeps taking over my @Spotify while I'm not in the house.
Good thing I have a few mixes that download as… https://t.co/tXIpCFYj3A",2018-08-28 19:29:52,0.4404,pos
22,1034522799061258240,"If @apple can add AirPlay 2 to the 10 year old discontinued AirPort Express, surely @SonosSupport @sonos can add it… https://t.co/w6j2XE8jlx",2018-08-28 19:27:10,0.4404,pos
23,1034522370478759936,"So Apple can add AirPlay 2 support to its old-as-dirt AirPort Express yet @Sonos can’t add it to PlayBar? 

What am… https://t.co/ZoBibm0eLm",2018-08-28 19:25:28,0.4019,pos
24,1034521094684860417,@Sonos @TheVerge All it needs is #audible or #bluetooth #blockchain transactions 🙌,2018-08-28 19:20:24,0.0,neutral
25,1034514703589011457,Appreciate you fam @Sonos https://t.co/35D31RLQgC,2018-08-28 18:55:00,0.4019,pos
26,1034503500972150785,@SonosSupport Hey @SonosSupport @Sonos haven’t had my unit collected yet it was supposed to be picked up last week?… https://t.co/nwefH5drLF,2018-08-28 18:10:29,0.0,neutral
27,1034498999330459649,@1111goblue1111 @Sonos We're excited to be working with Google but don't have a timeline to announce right now. Tha… https://t.co/IrT64INRff,2018-08-28 17:52:36,0.1779,pos
28,1034497192176672768,@Sonos What's the hold up for Google Home integration?,2018-08-28 17:45:25,0.0,neutral
29,1034496269954084864,"While @Bose sound is superior, its lack of transparency on software updates makes it impossible to invest in multi-… https://t.co/OI9WKGxWBu",2018-08-28 17:41:45,0.296,pos
30,1034478241480892416,Learn how @Sonos utilised #AI to analysing NPS’ open text responses and identified drivers of NPS. Register for the… https://t.co/OvqvH23BNp,2018-08-28 16:30:07,0.0,neutral
31,1034474236067233792,Listening to @OpenAirCPR on @sonos as I work. Appreciate them both! #productivity #ListeningTo,2018-08-28 16:14:12,0.4574,pos
32,1034464628603072513,"@Cedrihar @Sonos Hi Dennis, thanks for reaching out. We recommend checking out our system requirements here for the… https://t.co/0gk1QgHb06",2018-08-28 15:36:01,0.7351,pos
33,1034464590585847808,Find out how Flexson is continuing to provide quality solutions for all @Sonos products in this in-depth piece from… https://t.co/FjLhnMtAK0,2018-08-28 15:35:52,0.1779,pos
34,1034458840031481858,"@Sonos Hey guys, I'm thinking about buying Netgear Orbi. How does that work with Sonos ? any pitfalls I should be aware of?",2018-08-28 15:13:01,0.0,neutral
35,1034453620379406336,And in other news @Sonos just lost so much business. https://t.co/2tBZ8AP2Nu,2018-08-28 14:52:16,-0.3182,neg
36,1034453186055221248,"@FourFour_Stu @Sonos I’m sure you don’t mean that. I’ve just left Pittsburgh, different kind of egg-shaped-ball games over here! 🏈",2018-08-28 14:50:33,0.3802,pos
37,1034452671212806144,"As a @Sonos user, and human being with eyesight, I'm not worried. https://t.co/ImS3g6dAvH",2018-08-28 14:48:30,0.2235,pos
38,1034446496949850112,"@whoislulu @Sonos noted. next time i want to bore myself to sleep watching an egg thrown about, ill do that.🍳",2018-08-28 14:23:58,-0.5423,neg
39,1034445426295033856,"Sadly, the rest of the office *did not* appreciate me blasting 1960s country on the @Sonos.",2018-08-28 14:19:43,-0.0258,neg
40,1034445156219584513,@FourFour_Stu @Sonos I have a fix for that - watch rugby instead 👌😂,2018-08-28 14:18:38,0.0,neutral
41,1034440640145186816,Flippin Eck etjusticepourtous have reinventing Woman! @sonos spotify https://t.co/9KrJv7I7LA,2018-08-28 14:00:42,0.0,neutral
42,1034439767310643200,@whoislulu @Sonos Downside number 1. When watching a Man United game on TV. Alexa thinks you're speaking to her eve… https://t.co/UtsODF3ZFp,2018-08-28 13:57:14,0.2732,pos
43,1034430394324660224,"@redsox7853 @Sonos Hi EJ, we'd be happy to take a look. Can you follow the steps from our guide the next time the m… https://t.co/DmvYUoM48r",2018-08-28 13:19:59,0.5719,pos
44,1034427790332964864,@Sonos My Sonos (which I ve had for many years) has a mind of its own these days.Skipping parts of songs ... so annoying,2018-08-28 13:09:38,-0.541,neg
45,1034423536037888001,@rorroakadodo @Sonos Hi Rodrigo. What Sonos speakers do you have in your setup? AirPlay 2 is supported on the Sonos… https://t.co/0z4mJixKjX,2018-08-28 12:52:44,0.3182,pos
46,1034414806084792320,@Sonos I’m not able to get the airplay mode work. Don’t get the option of my Sonos speakers. I have the latest sonos update.,2018-08-28 12:18:02,0.0,neutral
47,1034406248534474752,Here's a recent install of a @Sonos Connect: Amp with @AlphasonDesigns wall brackets 🎵 🎵 😎 If you're an #audiophile… https://t.co/COUEe7dSap,2018-08-28 11:44:02,0.4588,pos
48,1034362591836078080,@SonosSupport @Sonos Yes and yes.,2018-08-28 08:50:34,0.6597,pos
49,1034359553616437254,@creavo82 @Sonos @SkyUK @TheRock ohhhh that looks cosy! Perfect for bank holiday chilling.,2018-08-28 08:38:29,0.7644,pos
50,1034335679256428544,"@SonosSupport @Sonos Hi, diagnostic submitted. Screenshot shows report number. Speaker named 'Kitchen' is the one w… https://t.co/HvdnoB7kqA",2018-08-28 07:03:37,0.0772,pos
51,1034325391652122624,@CyberpunkGame Gameplay Demo and the @Sonos Surround System is an amazing combination. The sound and the effects ar… https://t.co/lpFlLdiwJg,2018-08-28 06:22:44,0.5859,pos
52,1034316050454781952,"@danparsons @Sonos Hi Dan, is there any sound coming out of the speakers? Does the speaker work with playing music?",2018-08-28 05:45:37,0.2869,pos
53,1034299145136340992,Excited to get to attend the @IKEA Democratic Design Days event &amp; exhibition today in Sydney. Especially keen to he… https://t.co/o6YmA8dIBZ,2018-08-28 04:38:27,0.6361,pos
54,1034285958181658625,"@Sonos @SonosSupport it's been over a year, am I going to be able to play music by talking to my @google home or do… https://t.co/xqD2vDGJnM",2018-08-28 03:46:03,0.34,pos
55,1034272988391243776,@SonosSupport @Sonos Thanks bot- it’s all good,2018-08-28 02:54:30,0.7003,pos
56,1034260378874720256,@jameswinner @Sonos I sure don’t for the Sonos!,2018-08-28 02:04:24,0.3802,pos
57,1034253862302048261,@danmiser @Sonos Dude why are you always needing support for your tech? #usererror #missyoumeanit,2018-08-28 01:38:30,0.4019,pos
58,1034949661793153024,@Patrick_Spence @Sonos @SonanceSpeakers Very exciting stuff! Is planned or extreme coincidence that most companies… https://t.co/fJr3GOKS4e,2018-08-29 23:43:22,0.5838,pos
59,1034946568691109889,Nothing like listening to French Cafe Lounge music from @SpotifyUSA on @Sonos and hanging out with the family. Makes for a good evening.,2018-08-29 23:31:05,0.1999,pos
60,1034945255685152768,Latest new addition from @Sonos aimed at CI channel!! Sonos Amp is the most important new product the company has l… https://t.co/OSEROU7F80,2018-08-29 23:25:51,0.3973,pos
61,1034944136263041024,"@Sonos @JonathanMosen A good first step, but why not cover all bases and market a preamp, thereby creating the opti… https://t.co/R9aLbDgegg",2018-08-29 23:21:25,0.5789,pos
62,1034943790287671296,"To load so much power into such a small amplifier, @Sonos engineers had to get creative.  https://t.co/73v8evytXB",2018-08-29 23:20:02,0.4404,pos
63,1034935418318249984,@SonosSupport @Sonos So no @MQAMusic MQA or DSD formats? That’s disappointing.,2018-08-29 22:46:46,-0.7241,neg
64,1034934383390539776,@pete_pedersen @Sonos Very smart move.  So many loyal @Sonos customers have existing sound systems and want to keep… https://t.co/wexOUtkEbN,2018-08-29 22:42:39,0.7698,pos
