,1. open,2. high,3. low,4. close,5. volume
2018-08-29 15:30:00,176.0000,176.0300,175.5601,175.9600,1626278
2018-08-29 15:00:00,175.2800,176.0600,175.2600,176.0000,1585608
2018-08-29 14:30:00,174.9800,175.3000,174.9200,175.2600,1020249
2018-08-29 14:00:00,174.9839,175.1050,174.8600,174.9800,876414
2018-08-29 13:30:00,175.3434,175.3500,174.7500,174.9700,1349878
2018-08-29 13:00:00,175.6100,175.6498,175.1850,175.3400,662712
2018-08-29 12:30:00,175.5500,175.7599,175.3600,175.6300,865557
2018-08-29 12:00:00,175.8800,175.9200,175.4400,175.5251,709158
2018-08-29 11:30:00,176.0000,176.1800,175.7600,175.8700,767317
2018-08-29 11:00:00,175.5400,176.1107,175.5400,176.0315,1073041
2018-08-29 10:30:00,175.8400,176.2800,175.2900,175.5520,1712754
2018-08-29 10:00:00,175.8000,175.9100,175.4500,175.8300,1284737
2018-08-29 09:30:00,176.1350,176.7500,175.2900,175.8400,2899568
2018-08-28 15:30:00,176.5300,176.5400,175.8700,176.2700,2027776
2018-08-28 15:00:00,177.0700,177.0700,176.4271,176.5195,1147274
2018-08-28 14:30:00,177.2250,177.3200,176.9500,177.0700,859593
2018-08-28 14:00:00,177.0400,177.2600,176.9600,177.2300,571076
2018-08-28 13:30:00,176.8200,177.1134,176.7700,177.0300,402193
2018-08-28 13:00:00,176.8800,177.0098,176.7800,176.8307,652154
2018-08-28 12:30:00,176.9900,177.1900,176.8500,176.8978,669267
2018-08-28 12:00:00,176.9750,177.2300,176.8800,176.9600,759712
2018-08-28 11:30:00,177.1400,177.1700,176.6500,176.9600,843355
2018-08-28 11:00:00,176.9400,177.2900,176.8100,177.1900,712655
2018-08-28 10:30:00,177.5600,177.7000,176.9200,176.9200,1166215
2018-08-28 10:00:00,176.9400,177.6899,176.8900,177.6100,1331409
2018-08-28 09:30:00,178.2362,178.2362,176.4800,176.9400,3282308
2018-08-27 15:30:00,177.4700,177.5300,177.0000,177.4600,1956748
2018-08-27 15:00:00,177.6100,177.6800,177.2700,177.4800,863509
2018-08-27 14:30:00,177.2700,177.7133,177.1200,177.6100,687627
2018-08-27 14:00:00,177.0200,177.4000,177.0200,177.2300,885939
2018-08-27 13:30:00,177.0300,177.3098,176.8400,176.9900,666331
2018-08-27 13:00:00,177.5250,177.5250,176.9100,177.0300,785497
2018-08-27 12:30:00,177.5200,177.7297,177.3500,177.5500,571023
2018-08-27 12:00:00,177.8800,178.0700,177.5200,177.5200,891328
2018-08-27 11:30:00,177.2500,178.0800,177.2300,177.9300,1013049
2018-08-27 11:00:00,177.9700,178.1000,177.0300,177.2200,1277028
2018-08-27 10:30:00,178.0300,178.6500,177.7600,177.9300,1499414
